iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, AVG
dec_strat, MAJ3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent08c,1,43,24,43,43.0,self,3
agent08d,1,44,25,44,44.0,self,2
agent08e,1,19,25,19,19.0,self,1
agent08f,1,26,27,26,26.0,self,1
agent090,1,19,24,19,19.0,self,1
agent091,1,13,25,13,13.0,self,2
agent092,1,8,24,8,8.0,self,1
agent093,1,25,24,25,25.0,self,2
agent094,1,15,24,15,15.0,self,2
agent095,1,12,25,12,12.0,self,2
agent096,1,32,24,32,32.0,self,2
agent097,1,25,24,25,25.0,self,3
agent098,1,6,25,6,6.0,self,1
agent099,1,24,26,38,38.0,norm,15
agent09a,1,23,25,23,23.0,self,2
agent09b,1,17,25,17,17.0,self,1
agent09c,1,33,26,33,33.0,self,3
agent09d,1,13,26,13,13.0,self,2
agent09e,1,16,24,16,16.0,self,2
agent09f,1,7,23,7,7.0,self,3
agent0a0,1,43,24,43,43.0,self,3
agent0a1,1,24,26,24,24.0,self,1
agent0a2,1,20,26,20,20.0,self,3
agent0a3,1,38,24,38,38.0,self,2
agent0a4,1,29,25,29,29.0,self,3
agent0a5,1,12,25,12,12.0,self,3
agent0a6,1,35,23,35,35.0,self,1
agent0a7,1,37,25,37,37.0,self,3
agent0a8,1,44,25,44,44.0,self,2
agent0a9,1,26,23,26,26.0,self,3
agent0aa,1,33,27,33,33.0,self,2
agent0ab,1,19,25,19,19.0,self,3
agent0ac,1,34,25,34,34.0,self,1
agent0ad,1,44,27,44,44.0,self,3
agent0ae,1,41,24,41,41.0,self,1
agent0af,1,20,27,20,20.0,self,1
agent0b0,1,29,24,29,29.0,self,1
agent0b1,1,43,26,43,43.0,self,2
agent0b2,1,27,22,27,27.0,self,3
agent0b3,1,42,22,42,42.0,self,2
agent0b4,1,41,25,41,41.0,self,1
agent0b5,1,24,24,24,24.0,self,1
agent0b6,1,15,26,15,15.0,self,1
agent0b7,1,43,26,43,43.0,self,2
agent0b8,1,37,25,37,37.0,self,1
agent0b9,1,39,24,39,39.0,self,3
agent0ba,1,11,24,11,11.0,self,3
agent0bb,1,35,25,35,35.0,self,2
agent0bc,1,24,26,24,24.0,self,2
agent0bd,1,21,26,21,21.0,self,3
agent0be,1,17,23,17,17.0,self,1
agent0bf,1,7,27,7,7.0,self,2
agent0c0,1,24,28,24,24.0,self,3
agent0c1,1,9,25,9,9.0,self,1
agent0c2,1,22,24,41,41.0,norm,22
agent0c3,1,19,25,19,19.0,self,3
agent0c4,1,16,25,16,16.0,self,1
agent0c5,1,3,28,3,3.0,self,1
agent0c6,1,29,25,29,29.0,self,2
agent0c7,1,5,23,5,5.0,self,2
agent000,2,39,25,39,39.0,self,1
agent001,2,23,25,22,22.0,norm,0
agent002,2,15,26,15,15.0,self,1
agent003,2,40,26,40,40.0,self,1
agent004,2,19,28,19,19.0,self,2
agent005,2,30,26,30,30.0,self,2
agent006,2,27,28,27,27.0,self,2
agent007,2,5,29,5,5.0,self,1
