agent,iteration,layer1,layer2,decision, payoff, norm or self
agent0ab,0,3,0,3,3.0,self
agent0ac,0,22,0,22,22.0,self
agent0ad,0,20,0,20,20.0,self
agent0ae,0,33,0,33,33.0,self
agent0af,0,40,0,40,40.0,self
agent0b0,0,42,0,42,42.0,self
agent0b1,0,17,0,17,17.0,self
agent0b2,0,19,0,19,19.0,self
agent0b3,0,8,0,8,8.0,self
agent0b4,0,22,0,22,22.0,self
agent0b5,0,30,0,30,30.0,self
agent0b6,0,40,0,40,40.0,self
agent0b7,0,16,0,16,16.0,self
agent0b8,0,6,0,6,6.0,self
agent0b9,0,28,0,28,28.0,self
agent0ba,0,18,0,18,18.0,self
agent0bb,0,28,0,28,28.0,self
agent0bc,0,3,0,3,3.0,self
agent0bd,0,3,0,3,3.0,self
agent0be,0,17,0,17,17.0,self
agent0bf,0,41,0,41,41.0,self
agent0c0,0,39,0,39,39.0,self
agent0c1,0,40,0,40,40.0,self
agent0c2,0,34,0,34,34.0,self
agent0c3,0,25,0,25,25.0,self
agent0c4,0,40,0,40,40.0,self
agent0c5,0,27,0,27,27.0,self
agent0c6,0,22,0,22,22.0,self
agent0c7,0,15,0,15,15.0,self
agent000,1,29,0,29,29.0,self
agent001,1,36,0,36,36.0,self
agent002,1,6,0,6,6.0,self
agent003,1,24,0,24,24.0,self
agent004,1,26,0,26,26.0,self
agent005,1,19,0,19,19.0,self
agent006,1,6,0,6,6.0,self
agent007,1,30,0,30,30.0,self
agent008,1,14,0,14,14.0,self
agent009,1,39,0,39,39.0,self
agent00a,1,32,0,32,32.0,self
agent00b,1,41,0,41,41.0,self
agent00c,1,7,0,7,7.0,self
agent00d,1,22,0,22,22.0,self
agent00e,1,35,0,35,35.0,self
agent00f,1,21,0,21,21.0,self
agent010,1,42,0,42,42.0,self
agent011,1,25,0,25,25.0,self
agent012,1,15,0,15,15.0,self
agent013,1,34,0,34,34.0,self
agent014,1,13,0,13,13.0,self
agent015,1,31,0,31,31.0,self
agent016,1,39,0,39,39.0,self
agent017,1,8,0,8,8.0,self
agent018,1,20,0,20,20.0,self
agent019,1,29,0,29,29.0,self
agent01a,1,21,0,21,21.0,self
agent01b,1,28,0,28,28.0,self
agent01c,1,24,0,24,24.0,self
agent01d,1,32,0,32,32.0,self
agent01e,1,21,0,21,21.0,self
agent01f,1,12,0,12,12.0,self
agent020,1,18,0,18,18.0,self
agent021,1,12,0,12,12.0,self
agent022,1,18,0,18,18.0,self
agent023,1,34,0,34,34.0,self
agent024,1,14,0,14,14.0,self
agent025,1,3,0,3,3.0,self
agent026,1,8,0,8,8.0,self
agent027,1,18,0,18,18.0,self
agent028,1,28,0,28,28.0,self
agent029,1,43,0,43,43.0,self
agent02a,1,6,0,6,6.0,self
agent02b,1,26,0,26,26.0,self
agent02c,1,25,0,25,25.0,self
agent02d,1,32,0,32,32.0,self
agent02e,1,20,0,20,20.0,self
agent02f,1,22,0,22,22.0,self
agent030,1,37,0,37,37.0,self
agent031,1,28,0,28,28.0,self
agent032,1,27,0,27,27.0,self
agent033,1,18,0,18,18.0,self
agent034,1,4,0,4,4.0,self
agent035,1,20,0,20,20.0,self
agent036,1,22,0,22,22.0,self
agent037,1,36,0,36,36.0,self
agent038,1,24,0,24,24.0,self
agent039,1,39,0,39,39.0,self
agent03a,1,34,0,34,34.0,self
agent03b,1,11,0,11,11.0,self
agent03c,1,28,0,28,28.0,self
agent03d,1,42,0,42,42.0,self
agent03e,1,10,0,10,10.0,self
agent03f,1,27,0,27,27.0,self
