iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, RND
dec_strat, THRES
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent091,0,11,21,21,21.0,norm,12
agent092,0,7,21,21,21.0,norm,15
agent093,0,23,20,20,20.0,norm,1
agent094,0,13,21,21,21.0,norm,10
agent095,0,10,22,22,22.0,norm,14
agent096,0,30,21,21,21.0,norm,7
agent097,0,22,20,20,20.0,norm,1
agent098,0,5,21,21,21.0,norm,17
agent099,0,23,22,22,22.0,norm,0
agent09a,0,21,22,22,22.0,norm,3
agent09b,0,16,21,21,21.0,norm,6
agent09c,0,30,22,22,22.0,norm,5
agent09d,0,11,23,23,23.0,norm,14
agent09e,0,14,21,21,21.0,norm,9
agent09f,0,4,20,20,20.0,norm,19
agent0a0,0,40,20,20,20.0,norm,17
agent0a1,0,23,23,23,23.0,norm=self,1
agent0a2,0,17,23,23,23.0,norm,9
agent0a3,0,36,21,21,21.0,norm,13
agent0a4,0,26,21,21,21.0,norm,2
agent0a5,0,9,22,22,22.0,norm,16
agent0a6,0,34,20,20,20.0,norm,13
agent0a7,0,34,22,22,22.0,norm,9
agent0a8,0,42,21,21,21.0,norm,19
agent0a9,0,23,20,23,23.0,self,3
agent0aa,0,31,23,23,23.0,norm,6
agent0ab,0,16,22,22,22.0,norm,9
agent0ac,0,33,21,21,21.0,norm,11
agent0ad,0,41,23,23,23.0,norm,15
agent0ae,0,40,21,21,21.0,norm,18
agent0af,0,19,24,19,19.0,self,1
agent0b0,0,28,21,21,21.0,norm,6
agent0b1,0,41,22,22,22.0,norm,17
agent0b2,0,24,19,24,24.0,self,3
agent0b3,0,40,19,40,40.0,self,2
agent0b4,0,40,22,22,22.0,norm,17
agent0b5,0,23,21,21,21.0,norm,1
agent0b6,0,14,22,22,22.0,norm,9
agent0b7,0,41,23,23,23.0,norm,16
agent0b8,0,36,22,22,22.0,norm,13
agent0b9,0,36,21,21,21.0,norm,12
agent0ba,0,8,21,21,21.0,norm,16
agent0bb,0,33,22,22,22.0,norm,9
agent0bc,0,22,22,22,22.0,norm=self,2
agent0bd,0,18,23,23,23.0,norm,8
agent0be,0,16,20,20,20.0,norm,5
agent0bf,0,5,23,23,23.0,norm,20
agent0c0,0,21,25,21,21.0,self,3
agent0c1,0,8,21,21,21.0,norm,14
agent0c2,0,19,21,21,21.0,norm,5
agent0c3,0,16,21,21,21.0,norm,8
agent0c4,0,15,22,22,22.0,norm,8
agent0c5,0,2,25,2,2.0,self,1
agent0c6,0,27,22,22,22.0,norm,3
agent0c7,0,3,20,20,20.0,norm,19
agent000,1,20,10,20,20.0,norm=self,0
agent001,1,21,22,21,21.0,norm=self,1
agent002,1,22,42,22,22.0,norm=self,1
agent003,1,20,18,20,20.0,norm=self,0
agent004,1,24,23,22,22.0,norm,0
agent005,1,22,42,22,22.0,norm=self,1
agent006,1,25,42,23,23.0,norm,0
agent007,1,4,25,22,22.0,norm,19
agent008,1,24,23,24,24.0,norm=self,1
agent009,1,21,14,21,21.0,norm=self,0
agent00a,1,21,23,21,21.0,norm=self,1
agent00b,1,25,25,24,24.0,norm,1
agent00c,1,21,25,21,21.0,norm=self,0
agent00d,1,14,23,22,22.0,norm,10
agent00e,1,34,23,23,23.0,norm,10
agent00f,1,24,22,24,24.0,norm=self,3
agent010,1,41,21,22,22.0,norm,17
agent011,1,22,24,22,22.0,norm=self,2
agent012,1,22,24,22,22.0,norm=self,1
agent013,1,21,25,21,21.0,norm=self,1
agent014,1,24,19,24,24.0,norm=self,3
agent015,1,18,23,21,21.0,norm,4
agent016,1,31,22,24,24.0,norm,6
agent017,1,23,20,23,23.0,norm=self,1
agent018,1,21,21,21,21.0,norm=self,3
agent019,1,22,21,22,22.0,norm=self,1
agent01a,1,22,21,22,22.0,norm=self,1
agent01b,1,24,20,24,24.0,norm=self,1
agent01c,1,25,21,23,23.0,norm,1
agent01d,1,22,26,22,22.0,norm=self,1
agent01e,1,24,40,23,23.0,norm,0
agent01f,1,22,22,22,22.0,norm=self,0
agent020,1,24,23,23,23.0,norm,0
agent021,1,22,21,22,22.0,norm=self,2
agent022,1,26,21,23,23.0,norm,0
agent023,1,24,22,24,24.0,norm=self,1
agent024,1,23,22,23,23.0,norm=self,1
agent025,1,21,33,20,20.0,norm,0
agent026,1,23,31,23,23.0,norm=self,1
agent027,1,10,23,21,21.0,norm,14
agent028,1,30,4,24,24.0,norm,5
agent029,1,24,24,24,24.0,norm=self,2
agent02a,1,23,23,23,23.0,norm=self,1
agent02b,1,25,21,24,24.0,norm,2
agent02c,1,22,24,22,22.0,norm=self,1
agent02d,1,20,24,20,20.0,norm=self,0
agent02e,1,23,21,23,23.0,norm=self,1
agent02f,1,23,24,23,23.0,norm=self,1
agent030,1,20,25,21,21.0,norm,2
agent031,1,24,10,24,24.0,norm=self,3
agent032,1,40,23,23,23.0,norm,16
agent033,1,22,22,22,22.0,norm=self,1
agent034,1,20,24,20,20.0,norm=self,0
agent035,1,23,21,23,23.0,norm=self,2
agent036,1,24,21,24,24.0,norm=self,3
agent037,1,21,22,21,21.0,norm=self,1
agent038,1,24,22,23,23.0,norm,1
agent039,1,22,34,22,22.0,norm=self,1
agent03a,1,22,21,22,22.0,norm=self,2
agent03b,1,44,25,25,25.0,norm,17
agent03c,1,23,23,23,23.0,norm=self,1
agent03d,1,22,26,22,22.0,norm=self,1
agent03e,1,23,23,23,23.0,norm=self,3
agent03f,1,12,21,21,21.0,norm,11
agent040,1,23,22,23,23.0,norm=self,1
agent041,1,31,22,24,24.0,norm,4
agent042,1,23,23,23,23.0,norm=self,2
agent043,1,21,27,21,21.0,norm=self,1
agent044,1,24,21,24,24.0,norm=self,1
agent045,1,20,22,20,20.0,norm=self,0
agent046,1,23,21,23,23.0,norm=self,2
agent047,1,24,23,23,23.0,norm,1
agent048,1,42,21,24,24.0,norm,17
agent049,1,22,25,22,22.0,norm=self,1
agent04a,1,24,24,23,23.0,norm,1
agent04b,1,23,20,23,23.0,norm=self,1
agent04c,1,21,22,21,21.0,norm=self,0
agent04d,1,25,3,22,22.0,norm,0
agent04e,1,44,21,22,22.0,norm,19
agent04f,1,23,22,23,23.0,norm=self,1
agent050,1,24,21,24,24.0,norm=self,1
agent051,1,21,30,21,21.0,norm=self,0
agent052,1,23,22,23,23.0,norm=self,1
agent053,1,22,34,22,22.0,norm=self,2
agent054,1,25,23,24,24.0,norm,1
agent055,1,21,23,21,21.0,norm=self,1
agent056,1,23,22,23,23.0,norm=self,2
