iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, MAJ3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent097,0,22,3,22,22.0,self,3
agent098,0,5,26,5,5.0,self,1
agent099,0,23,38,23,23.0,self,1
agent09a,0,21,11,21,21.0,self,2
agent09b,0,16,7,16,16.0,self,1
agent09c,0,30,29,30,30.0,self,3
agent09d,0,11,20,11,11.0,self,2
agent09e,0,14,2,14,14.0,self,2
agent09f,0,4,14,4,4.0,self,3
agent0a0,0,40,22,40,40.0,self,3
agent0a1,0,23,34,23,23.0,self,1
agent0a2,0,17,23,17,17.0,self,3
agent0a3,0,36,11,36,36.0,self,2
agent0a4,0,26,3,26,26.0,self,3
agent0a5,0,9,16,9,9.0,self,3
agent0a6,0,34,20,34,34.0,self,1
agent0a7,0,34,17,34,34.0,self,3
agent0a8,0,42,28,42,42.0,self,2
agent0a9,0,23,9,23,23.0,self,3
agent0aa,0,31,34,31,31.0,self,2
agent0ab,0,16,35,16,16.0,self,3
agent0ac,0,33,32,33,33.0,self,1
agent0ad,0,41,14,41,41.0,self,3
agent0ae,0,40,20,40,40.0,self,1
agent0af,0,19,22,19,19.0,self,1
agent0b0,0,28,37,23,23.0,norm,4
agent0b1,0,41,21,41,41.0,self,2
agent0b2,0,24,30,24,24.0,self,3
agent0b3,0,40,38,40,40.0,self,2
agent0b4,0,40,5,40,40.0,self,1
agent0b5,0,23,40,23,23.0,self,1
agent0b6,0,14,4,14,14.0,self,1
agent0b7,0,41,23,41,41.0,self,2
agent0b8,0,36,18,36,36.0,self,1
agent0b9,0,36,17,36,36.0,self,3
agent0ba,0,8,32,8,8.0,self,3
agent0bb,0,33,40,33,33.0,self,2
agent0bc,0,22,30,22,22.0,self,2
agent0bd,0,18,33,18,18.0,self,3
agent0be,0,16,33,16,16.0,self,1
agent0bf,0,5,29,5,5.0,self,2
agent0c0,0,21,39,21,21.0,self,3
agent0c1,0,8,35,8,8.0,self,1
agent0c2,0,19,11,19,19.0,self,3
agent0c3,0,16,23,16,16.0,self,3
agent0c4,0,15,23,15,15.0,self,1
agent0c5,0,2,42,2,2.0,self,1
agent0c6,0,27,38,27,27.0,self,2
agent0c7,0,3,16,7,7.0,norm,6
agent000,1,38,12,38,38.0,self,1
agent001,1,16,32,16,16.0,self,1
agent002,1,14,22,14,14.0,self,1
agent003,1,39,38,39,39.0,self,1
agent004,1,17,29,17,17.0,self,2
agent005,1,28,24,28,28.0,self,2
agent006,1,25,34,25,25.0,self,2
agent007,1,4,42,4,4.0,self,1
agent008,1,44,19,44,44.0,self,2
agent009,1,32,11,32,32.0,self,1
agent00a,1,19,35,19,19.0,self,1
agent00b,1,36,14,36,36.0,self,3
agent00c,1,33,24,33,33.0,self,1
agent00d,1,14,36,14,14.0,self,2
agent00e,1,34,44,34,34.0,self,1
agent00f,1,17,19,17,17.0,self,3
agent010,1,41,35,41,41.0,self,2
agent011,1,24,42,24,24.0,self,2
agent012,1,13,34,13,13.0,self,1
agent013,1,37,22,37,37.0,self,3
agent014,1,18,13,18,18.0,self,3
agent015,1,18,33,18,18.0,self,1
agent016,1,31,18,31,31.0,self,1
agent017,1,38,3,38,38.0,self,2
agent018,1,21,7,21,21.0,self,3
