agent,iteration,layer1,layer2,decision, payoff, norm or self, change
agent09b,0,9,8,9,9.0,self,3
agent09c,0,39,33,39,39.0,self,1
agent09d,0,42,39,42,42.0,self,2
agent09e,0,15,33,15,15.0,self,3
agent09f,0,2,5,2,2.0,self,1
agent0a0,0,39,19,39,39.0,self,3
agent0a1,0,27,15,27,27.0,self,1
agent0a2,0,3,33,3,3.0,self,1
agent0a3,0,42,3,42,42.0,self,2
agent0a4,0,35,37,35,35.0,self,1
agent0a5,0,39,3,39,39.0,self,1
agent0a6,0,29,25,29,29.0,self,1
agent0a7,0,41,15,41,41.0,self,2
agent0a8,0,33,17,33,33.0,self,2
agent0a9,0,39,15,39,39.0,self,2
agent0aa,0,34,25,34,34.0,self,2
agent0ab,0,3,5,3,3.0,self,2
agent0ac,0,22,39,22,22.0,self,2
agent0ad,0,20,6,20,20.0,self,2
agent0ae,0,33,39,33,33.0,self,3
agent0af,0,40,16,40,40.0,self,3
agent0b0,0,42,18,42,42.0,self,3
agent0b1,0,17,25,17,17.0,self,3
agent0b2,0,19,19,19,19.0,self,1
agent0b3,0,8,15,8,8.0,self,1
agent0b4,0,22,18,22,22.0,self,1
agent0b5,0,30,25,30,30.0,self,1
agent0b6,0,40,25,40,40.0,self,1
agent0b7,0,16,19,16,16.0,self,1
agent0b8,0,6,15,6,6.0,self,2
agent0b9,0,28,15,28,28.0,self,3
agent0ba,0,18,5,18,18.0,self,2
agent0bb,0,28,19,28,28.0,self,2
agent0bc,0,3,23,3,3.0,self,2
agent0bd,0,3,20,3,3.0,self,1
agent0be,0,17,40,17,17.0,self,2
agent0bf,0,41,19,41,41.0,self,1
agent0c0,0,39,33,39,39.0,self,2
agent0c1,0,40,25,40,40.0,self,2
agent0c2,0,34,23,34,34.0,self,3
agent0c3,0,25,33,25,25.0,self,1
agent0c4,0,40,15,40,40.0,self,1
agent0c5,0,27,15,27,27.0,self,1
agent0c6,0,22,19,22,22.0,self,2
agent0c7,0,15,33,15,15.0,self,3
agent000,1,29,18,29,29.0,self,3
agent001,1,36,20,36,36.0,self,3
agent002,1,6,39,6,6.0,self,1
agent003,1,24,17,24,24.0,self,1
agent004,1,26,6,26,26.0,self,3
agent005,1,19,37,19,19.0,self,1
agent006,1,6,28,6,6.0,self,1
agent007,1,30,41,30,30.0,self,1
agent008,1,14,39,14,14.0,self,3
agent009,1,39,20,39,39.0,self,1
agent00a,1,32,18,32,32.0,self,1
agent00b,1,41,20,41,41.0,self,2
agent00c,1,7,26,7,7.0,self,1
agent00d,1,22,20,22,22.0,self,2
agent00e,1,35,28,35,35.0,self,3
agent00f,1,21,20,21,21.0,self,2
agent010,1,42,28,42,42.0,self,3
agent011,1,25,18,25,25.0,self,1
agent012,1,15,16,15,15.0,self,2
agent013,1,34,18,34,34.0,self,1
agent014,1,13,28,13,13.0,self,3
agent015,1,31,41,31,31.0,self,3
agent016,1,39,39,39,39.0,self,1
agent017,1,8,28,8,8.0,self,3
agent018,1,20,18,20,20.0,self,2
agent019,1,29,20,29,29.0,self,2
agent01a,1,21,41,21,21.0,self,3
