agent,iteration,layer1,layer2,decision, payoff, norm or self, change
agent0b5,110,27,34,27,27.0,norm eq. self,0
agent0b6,110,30,32,30,30.0,norm eq. self,0
agent0b7,110,32,33,31,31.0,norm,0
agent0b8,110,33,32,31,31.0,norm,0
agent0b9,110,35,33,33,33.0,norm,0
agent0ba,110,33,33,31,31.0,norm,0
agent0bb,110,27,33,26,26.0,norm,0
agent0bc,110,33,32,31,31.0,norm,0
agent0bd,110,33,32,32,32.0,norm,0
agent0be,110,33,32,31,31.0,norm,0
agent0bf,110,30,32,30,30.0,norm eq. self,0
agent0c0,110,32,33,31,31.0,norm,0
agent0c1,110,32,33,31,31.0,norm,0
agent0c2,110,32,33,31,31.0,norm,0
agent0c3,110,33,33,32,32.0,norm,0
agent0c4,110,29,33,29,29.0,norm eq. self,0
agent0c5,110,29,33,29,29.0,norm eq. self,0
agent0c6,110,33,33,31,31.0,norm,0
agent0c7,110,35,32,32,32.0,norm,0
agent000,111,33,32,31,31.0,norm,0
agent001,111,32,34,31,31.0,norm,0
agent002,111,32,33,31,31.0,norm,0
agent003,111,28,32,27,27.0,norm,0
agent004,111,33,32,31,31.0,norm,0
agent005,111,32,33,31,31.0,norm,0
agent006,111,33,33,32,32.0,norm,0
agent007,111,28,33,28,28.0,norm eq. self,0
agent008,111,34,32,31,31.0,norm,0
agent009,111,29,32,29,29.0,norm eq. self,0
agent00a,111,31,32,31,31.0,norm eq. self,0
agent00b,111,32,32,31,31.0,norm,0
agent00c,111,32,33,31,31.0,norm,0
agent00d,111,35,33,33,33.0,norm,0
agent00e,111,35,33,33,33.0,norm,0
agent00f,111,33,32,31,31.0,norm,0
agent010,111,34,33,33,33.0,norm,0
agent011,111,32,33,31,31.0,norm,0
agent012,111,35,33,33,33.0,norm,0
agent013,111,30,32,30,30.0,norm eq. self,0
agent014,111,35,32,32,32.0,norm,0
agent015,111,34,32,32,32.0,norm,0
agent016,111,30,33,30,30.0,norm eq. self,0
agent017,111,34,33,31,31.0,norm,0
agent018,111,35,33,33,33.0,norm,0
agent019,111,32,32,31,31.0,norm,0
agent01a,111,34,33,31,31.0,norm,0
agent01b,111,33,33,31,31.0,norm,0
agent01c,111,34,33,33,33.0,norm,0
agent01d,111,35,33,33,33.0,norm,0
agent01e,111,34,33,32,32.0,norm,0
agent01f,111,33,32,31,31.0,norm,0
agent020,111,33,32,31,31.0,norm,0
agent021,111,36,33,33,33.0,norm,0
agent022,111,35,32,32,32.0,norm,0
agent023,111,31,32,31,31.0,norm eq. self,0
agent024,111,28,32,27,27.0,norm,0
agent025,111,34,33,33,33.0,norm,0
agent026,111,33,32,31,31.0,norm,0
agent027,111,33,33,31,31.0,norm,0
agent028,111,29,32,29,29.0,norm eq. self,0
agent029,111,32,32,31,31.0,norm,0
agent02a,111,33,32,31,31.0,norm,0
agent02b,111,32,32,31,31.0,norm,0
agent02c,111,35,33,32,32.0,norm,0
agent02d,111,34,32,32,32.0,norm,0
agent02e,111,32,33,31,31.0,norm,0
agent02f,111,33,32,31,31.0,norm,0
agent030,111,32,32,32,32.0,norm eq. self,0
agent031,111,34,32,32,32.0,norm,0
agent032,111,27,33,27,27.0,norm eq. self,0
agent033,111,34,32,31,31.0,norm,0
agent034,111,34,33,33,33.0,norm,0
agent035,111,32,33,31,31.0,norm,0
agent036,111,35,33,33,33.0,norm,0
agent037,111,32,32,31,31.0,norm,0
agent038,111,34,32,31,31.0,norm,0
agent039,111,34,32,33,33.0,norm,0
agent03a,111,31,33,30,30.0,norm,0
agent03b,111,35,32,32,32.0,norm,0
agent03c,111,35,33,33,33.0,norm,0
agent03d,111,32,34,31,31.0,norm,0
agent03e,111,33,32,31,31.0,norm,0
agent03f,111,28,32,28,28.0,norm eq. self,0
agent040,111,33,32,32,32.0,norm,0
agent041,111,30,32,30,30.0,norm eq. self,0
agent042,111,34,32,32,32.0,norm,0
agent043,111,34,32,32,32.0,norm,0
agent044,111,34,33,33,33.0,norm,0
agent045,111,33,32,32,32.0,norm,0
agent046,111,33,32,32,32.0,norm,0
agent047,111,34,32,32,32.0,norm,0
agent048,111,32,33,31,31.0,norm,0
agent049,111,32,32,31,31.0,norm,0
agent04a,111,32,33,31,31.0,norm,0
agent04b,111,34,33,32,32.0,norm,0
agent04c,111,32,32,31,31.0,norm,0
agent04d,111,33,32,32,32.0,norm,0
agent04e,111,28,33,27,27.0,norm,0
agent04f,111,33,33,31,31.0,norm,0
agent050,111,33,32,32,32.0,norm,0
agent051,111,32,33,32,32.0,norm eq. self,0
agent052,111,33,32,32,32.0,norm,0
agent053,111,33,32,32,32.0,norm,0
agent054,111,34,33,32,32.0,norm,0
agent055,111,32,32,31,31.0,norm,0
agent056,111,32,33,31,31.0,norm,0
agent057,111,32,32,31,31.0,norm,0
agent058,111,32,33,31,31.0,norm,0
agent059,111,34,32,32,32.0,norm,0
agent05a,111,33,33,31,31.0,norm,0
agent05b,111,33,32,31,31.0,norm,0
agent05c,111,33,33,31,31.0,norm,0
agent05d,111,32,33,31,31.0,norm,0
agent05e,111,33,33,31,31.0,norm,0
agent05f,111,34,32,32,32.0,norm,0
agent060,111,32,32,31,31.0,norm,0
agent061,111,33,33,32,32.0,norm,0
agent062,111,34,32,31,31.0,norm,0
agent063,111,35,32,33,33.0,norm,0
agent064,111,33,33,31,31.0,norm,0
agent065,111,30,33,30,30.0,norm eq. self,0
agent066,111,34,33,31,31.0,norm,0
agent067,111,33,32,32,32.0,norm,0
agent068,111,32,32,31,31.0,norm,0
agent069,111,33,32,31,31.0,norm,0
agent06a,111,33,32,31,31.0,norm,0
agent06b,111,34,33,32,32.0,norm,0
agent06c,111,34,33,31,31.0,norm,0
agent06d,111,32,33,31,31.0,norm,0
agent06e,111,32,33,31,31.0,norm,0
agent06f,111,32,32,32,32.0,norm eq. self,0
agent070,111,32,33,31,31.0,norm,0
agent071,111,30,32,30,30.0,norm eq. self,0
agent072,111,33,33,31,31.0,norm,0
agent073,111,32,33,31,31.0,norm,0
agent074,111,30,33,30,30.0,norm eq. self,0
agent075,111,32,32,31,31.0,norm,0
agent076,111,32,33,31,31.0,norm,0
agent077,111,27,33,26,26.0,norm,0
agent078,111,34,33,31,31.0,norm,0
agent079,111,33,33,31,31.0,norm,0
agent07a,111,33,32,32,32.0,norm,0
agent07b,111,32,33,31,31.0,norm,0
agent07c,111,35,33,33,33.0,norm,0
agent07d,111,28,33,27,27.0,norm,0
agent07e,111,34,34,31,31.0,norm,0
agent07f,111,34,32,31,31.0,norm,0
agent080,111,33,32,32,32.0,norm,0
agent081,111,28,32,27,27.0,norm,0
agent082,111,33,32,32,32.0,norm,0
agent083,111,32,33,31,31.0,norm,0
agent084,111,28,33,27,27.0,norm,0
agent085,111,27,34,26,26.0,norm,0
agent086,111,36,33,33,33.0,norm,0
agent087,111,31,32,31,31.0,norm eq. self,0
agent088,111,33,32,32,32.0,norm,0
agent089,111,29,32,29,29.0,norm eq. self,0
agent08a,111,29,32,29,29.0,norm eq. self,0
agent08b,111,34,32,31,31.0,norm,0
agent08c,111,33,32,31,31.0,norm,0
agent08d,111,33,32,31,31.0,norm,0
agent08e,111,33,32,31,31.0,norm,0
agent08f,111,32,32,31,31.0,norm,0
agent090,111,33,32,31,31.0,norm,0
agent091,111,32,32,31,31.0,norm,0
agent092,111,33,32,32,32.0,norm,0
agent093,111,32,34,31,31.0,norm,0
agent094,111,27,33,27,27.0,norm eq. self,0
agent095,111,30,32,30,30.0,norm eq. self,0
agent096,111,33,32,31,31.0,norm,0
agent097,111,33,32,32,32.0,norm,0
agent098,111,33,32,31,31.0,norm,0
agent099,111,32,32,31,31.0,norm,0
agent09a,111,35,32,32,32.0,norm,0
agent09b,111,36,33,33,33.0,norm,0
agent09c,111,30,32,30,30.0,norm eq. self,0
agent09d,111,32,32,31,31.0,norm,0
agent09e,111,34,32,31,31.0,norm,0
agent09f,111,34,32,33,33.0,norm,0
agent0a0,111,32,33,31,31.0,norm,0
agent0a1,111,32,33,31,31.0,norm,0
agent0a2,111,34,32,33,33.0,norm,0
agent0a3,111,32,33,31,31.0,norm,0
agent0a4,111,27,33,27,27.0,norm eq. self,0
agent0a5,111,29,32,29,29.0,norm eq. self,0
agent0a6,111,29,33,29,29.0,norm eq. self,0
agent0a7,111,32,33,31,31.0,norm,0
agent0a8,111,32,33,31,31.0,norm,0
agent0a9,111,32,32,31,31.0,norm,0
agent0aa,111,32,33,31,31.0,norm,0
agent0ab,111,33,32,31,31.0,norm,0
agent0ac,111,33,32,31,31.0,norm,0
agent0ad,111,33,33,31,31.0,norm,0
agent0ae,111,34,32,32,32.0,norm,0
agent0af,111,27,32,26,26.0,norm,0
agent0b0,111,32,33,31,31.0,norm,0
agent0b1,111,34,33,31,31.0,norm,0
agent0b2,111,32,32,31,31.0,norm,0
agent0b3,111,33,32,32,32.0,norm,0
agent0b4,111,28,33,27,27.0,norm,0
agent0b5,111,27,34,27,27.0,norm eq. self,0
agent0b6,111,30,32,30,30.0,norm eq. self,0
agent0b7,111,32,33,31,31.0,norm,0
agent0b8,111,33,32,31,31.0,norm,0
agent0b9,111,35,33,33,33.0,norm,0
agent0ba,111,33,33,31,31.0,norm,0
agent0bb,111,27,33,26,26.0,norm,0
agent0bc,111,33,32,31,31.0,norm,0
agent0bd,111,33,32,32,32.0,norm,0
agent0be,111,33,32,31,31.0,norm,0
agent0bf,111,30,32,30,30.0,norm eq. self,0
agent0c0,111,32,33,31,31.0,norm,0
agent0c1,111,32,33,31,31.0,norm,0
agent0c2,111,32,33,31,31.0,norm,0
agent0c3,111,33,33,32,32.0,norm,0
agent0c4,111,29,33,29,29.0,norm eq. self,0
agent0c5,111,29,33,29,29.0,norm eq. self,0
agent0c6,111,33,33,31,31.0,norm,0
agent0c7,111,35,32,32,32.0,norm,0
agent000,112,33,32,31,31.0,norm,0
agent001,112,32,34,31,31.0,norm,0
agent002,112,32,33,31,31.0,norm,0
agent003,112,28,32,27,27.0,norm,0
agent004,112,33,32,31,31.0,norm,0
agent005,112,32,33,31,31.0,norm,0
agent006,112,33,33,32,32.0,norm,0
agent007,112,28,33,28,28.0,norm eq. self,0
agent008,112,34,32,31,31.0,norm,0
agent009,112,29,32,29,29.0,norm eq. self,0
agent00a,112,31,32,31,31.0,norm eq. self,0
agent00b,112,32,32,31,31.0,norm,0
agent00c,112,32,33,31,31.0,norm,0
agent00d,112,35,33,33,33.0,norm,0
agent00e,112,35,33,33,33.0,norm,0
agent00f,112,33,32,31,31.0,norm,0
agent010,112,34,33,33,33.0,norm,0
agent011,112,32,33,31,31.0,norm,0
agent012,112,35,33,33,33.0,norm,0
agent013,112,30,32,30,30.0,norm eq. self,0
agent014,112,35,32,32,32.0,norm,0
agent015,112,34,32,32,32.0,norm,0
agent016,112,30,33,30,30.0,norm eq. self,0
agent017,112,34,33,31,31.0,norm,0
agent018,112,35,33,33,33.0,norm,0
agent019,112,32,32,31,31.0,norm,0
agent01a,112,34,33,31,31.0,norm,0
agent01b,112,33,33,31,31.0,norm,0
agent01c,112,34,33,33,33.0,norm,0
agent01d,112,35,33,33,33.0,norm,0
agent01e,112,34,33,32,32.0,norm,0
agent01f,112,33,32,31,31.0,norm,0
agent020,112,33,32,31,31.0,norm,0
agent021,112,36,33,33,33.0,norm,0
agent022,112,35,32,32,32.0,norm,0
agent023,112,31,32,31,31.0,norm eq. self,0
agent024,112,28,32,27,27.0,norm,0
agent025,112,34,33,33,33.0,norm,0
agent026,112,33,32,31,31.0,norm,0
agent027,112,33,33,31,31.0,norm,0
agent028,112,29,32,29,29.0,norm eq. self,0
agent029,112,32,32,31,31.0,norm,0
agent02a,112,33,32,31,31.0,norm,0
agent02b,112,32,32,31,31.0,norm,0
agent02c,112,35,33,32,32.0,norm,0
agent02d,112,34,32,32,32.0,norm,0
agent02e,112,32,33,31,31.0,norm,0
agent02f,112,33,32,31,31.0,norm,0
agent030,112,32,32,32,32.0,norm eq. self,0
agent031,112,34,32,32,32.0,norm,0
agent032,112,27,33,27,27.0,norm eq. self,0
agent033,112,34,32,31,31.0,norm,0
agent034,112,34,33,33,33.0,norm,0
agent035,112,32,33,31,31.0,norm,0
agent036,112,35,33,33,33.0,norm,0
agent037,112,32,32,31,31.0,norm,0
agent038,112,34,32,31,31.0,norm,0
agent039,112,34,32,33,33.0,norm,0
agent03a,112,31,33,30,30.0,norm,0
agent03b,112,35,32,32,32.0,norm,0
agent03c,112,35,33,33,33.0,norm,0
agent03d,112,32,34,31,31.0,norm,0
agent03e,112,33,32,31,31.0,norm,0
agent03f,112,28,32,28,28.0,norm eq. self,0
agent040,112,33,32,32,32.0,norm,0
agent041,112,30,32,30,30.0,norm eq. self,0
agent042,112,34,32,32,32.0,norm,0
agent043,112,34,32,32,32.0,norm,0
agent044,112,34,33,33,33.0,norm,0
agent045,112,33,32,32,32.0,norm,0
agent046,112,33,32,32,32.0,norm,0
agent047,112,34,32,32,32.0,norm,0
agent048,112,32,33,31,31.0,norm,0
agent049,112,32,32,31,31.0,norm,0
agent04a,112,32,33,31,31.0,norm,0
agent04b,112,34,33,32,32.0,norm,0
agent04c,112,32,32,31,31.0,norm,0
agent04d,112,33,32,32,32.0,norm,0
agent04e,112,28,33,27,27.0,norm,0
agent04f,112,33,33,31,31.0,norm,0
agent050,112,33,32,32,32.0,norm,0
agent051,112,32,33,32,32.0,norm eq. self,0
agent052,112,33,32,32,32.0,norm,0
agent053,112,33,32,32,32.0,norm,0
agent054,112,34,33,32,32.0,norm,0
agent055,112,32,32,31,31.0,norm,0
agent056,112,32,33,31,31.0,norm,0
agent057,112,32,32,31,31.0,norm,0
agent058,112,32,33,31,31.0,norm,0
agent059,112,34,32,32,32.0,norm,0
agent05a,112,33,33,31,31.0,norm,0
agent05b,112,33,32,31,31.0,norm,0
agent05c,112,33,33,31,31.0,norm,0
agent05d,112,32,33,31,31.0,norm,0
agent05e,112,33,33,31,31.0,norm,0
agent05f,112,34,32,32,32.0,norm,0
agent060,112,32,32,31,31.0,norm,0
agent061,112,33,33,32,32.0,norm,0
agent062,112,34,32,31,31.0,norm,0
agent063,112,35,32,33,33.0,norm,0
agent064,112,33,33,31,31.0,norm,0
agent065,112,30,33,30,30.0,norm eq. self,0
agent066,112,34,33,31,31.0,norm,0
agent067,112,33,32,32,32.0,norm,0
agent068,112,32,32,31,31.0,norm,0
agent069,112,33,32,31,31.0,norm,0
agent06a,112,33,32,31,31.0,norm,0
agent06b,112,34,33,32,32.0,norm,0
agent06c,112,34,33,31,31.0,norm,0
agent06d,112,32,33,31,31.0,norm,0
agent06e,112,32,33,31,31.0,norm,0
agent06f,112,32,32,32,32.0,norm eq. self,0
agent070,112,32,33,31,31.0,norm,0
agent071,112,30,32,30,30.0,norm eq. self,0
agent072,112,33,33,31,31.0,norm,0
agent073,112,32,33,31,31.0,norm,0
agent074,112,30,33,30,30.0,norm eq. self,0
agent075,112,32,32,31,31.0,norm,0
agent076,112,32,33,31,31.0,norm,0
agent077,112,27,33,26,26.0,norm,0
agent078,112,34,33,31,31.0,norm,0
agent079,112,33,33,31,31.0,norm,0
agent07a,112,33,32,32,32.0,norm,0
agent07b,112,32,33,31,31.0,norm,0
agent07c,112,35,33,33,33.0,norm,0
agent07d,112,28,33,27,27.0,norm,0
agent07e,112,34,34,31,31.0,norm,0
agent07f,112,34,32,31,31.0,norm,0
agent080,112,33,32,32,32.0,norm,0
agent081,112,28,32,27,27.0,norm,0
agent082,112,33,32,32,32.0,norm,0
agent083,112,32,33,31,31.0,norm,0
agent084,112,28,33,27,27.0,norm,0
agent085,112,27,34,26,26.0,norm,0
agent086,112,36,33,33,33.0,norm,0
agent087,112,31,32,31,31.0,norm eq. self,0
agent088,112,33,32,32,32.0,norm,0
agent089,112,29,32,29,29.0,norm eq. self,0
agent08a,112,29,32,29,29.0,norm eq. self,0
agent08b,112,34,32,31,31.0,norm,0
agent08c,112,33,32,31,31.0,norm,0
agent08d,112,33,32,31,31.0,norm,0
agent08e,112,33,32,31,31.0,norm,0
agent08f,112,32,32,31,31.0,norm,0
agent090,112,33,32,31,31.0,norm,0
agent091,112,32,32,31,31.0,norm,0
agent092,112,33,32,32,32.0,norm,0
agent093,112,32,34,31,31.0,norm,0
agent094,112,27,33,27,27.0,norm eq. self,0
agent095,112,30,32,30,30.0,norm eq. self,0
agent096,112,33,32,31,31.0,norm,0
agent097,112,33,32,32,32.0,norm,0
agent098,112,33,32,31,31.0,norm,0
agent099,112,32,32,31,31.0,norm,0
agent09a,112,35,32,32,32.0,norm,0
agent09b,112,36,33,33,33.0,norm,0
agent09c,112,30,32,30,30.0,norm eq. self,0
agent09d,112,32,32,31,31.0,norm,0
agent09e,112,34,32,31,31.0,norm,0
agent09f,112,34,32,33,33.0,norm,0
agent0a0,112,32,33,31,31.0,norm,0
agent0a1,112,32,33,31,31.0,norm,0
agent0a2,112,34,32,33,33.0,norm,0
agent0a3,112,32,33,31,31.0,norm,0
agent0a4,112,27,33,27,27.0,norm eq. self,0
agent0a5,112,29,32,29,29.0,norm eq. self,0
agent0a6,112,29,33,29,29.0,norm eq. self,0
agent0a7,112,32,33,31,31.0,norm,0
agent0a8,112,32,33,31,31.0,norm,0
agent0a9,112,32,32,31,31.0,norm,0
agent0aa,112,32,33,31,31.0,norm,0
agent0ab,112,33,32,31,31.0,norm,0
agent0ac,112,33,32,31,31.0,norm,0
agent0ad,112,33,33,31,31.0,norm,0
agent0ae,112,34,32,32,32.0,norm,0
agent0af,112,27,32,26,26.0,norm,0
agent0b0,112,32,33,31,31.0,norm,0
agent0b1,112,34,33,31,31.0,norm,0
agent0b2,112,32,32,31,31.0,norm,0
agent0b3,112,33,32,32,32.0,norm,0
agent0b4,112,28,33,27,27.0,norm,0
agent0b5,112,27,34,27,27.0,norm eq. self,0
agent0b6,112,30,32,30,30.0,norm eq. self,0
agent0b7,112,32,33,31,31.0,norm,0
agent0b8,112,33,32,31,31.0,norm,0
agent0b9,112,35,33,33,33.0,norm,0
agent0ba,112,33,33,31,31.0,norm,0
agent0bb,112,27,33,26,26.0,norm,0
agent0bc,112,33,32,31,31.0,norm,0
agent0bd,112,33,32,32,32.0,norm,0
agent0be,112,33,32,31,31.0,norm,0
agent0bf,112,30,32,30,30.0,norm eq. self,0
agent0c0,112,32,33,31,31.0,norm,0
agent0c1,112,32,33,31,31.0,norm,0
agent0c2,112,32,33,31,31.0,norm,0
agent0c3,112,33,33,32,32.0,norm,0
agent0c4,112,29,33,29,29.0,norm eq. self,0
agent0c5,112,29,33,29,29.0,norm eq. self,0
agent0c6,112,33,33,31,31.0,norm,0
agent0c7,112,35,32,32,32.0,norm,0
agent000,113,33,32,31,31.0,norm,0
agent001,113,32,34,31,31.0,norm,0
agent002,113,32,33,31,31.0,norm,0
agent003,113,28,32,27,27.0,norm,0
agent004,113,33,32,31,31.0,norm,0
agent005,113,32,33,31,31.0,norm,0
agent006,113,33,33,32,32.0,norm,0
agent007,113,28,33,28,28.0,norm eq. self,0
agent008,113,34,32,31,31.0,norm,0
agent009,113,29,32,29,29.0,norm eq. self,0
agent00a,113,31,32,31,31.0,norm eq. self,0
agent00b,113,32,32,31,31.0,norm,0
agent00c,113,32,33,31,31.0,norm,0
agent00d,113,35,33,33,33.0,norm,0
agent00e,113,35,33,33,33.0,norm,0
agent00f,113,33,32,31,31.0,norm,0
agent010,113,34,33,33,33.0,norm,0
agent011,113,32,33,31,31.0,norm,0
agent012,113,35,33,33,33.0,norm,0
agent013,113,30,32,30,30.0,norm eq. self,0
agent014,113,35,32,32,32.0,norm,0
agent015,113,34,32,32,32.0,norm,0
agent016,113,30,33,30,30.0,norm eq. self,0
agent017,113,34,33,31,31.0,norm,0
agent018,113,35,33,33,33.0,norm,0
agent019,113,32,32,31,31.0,norm,0
agent01a,113,34,33,31,31.0,norm,0
agent01b,113,33,33,31,31.0,norm,0
agent01c,113,34,33,33,33.0,norm,0
agent01d,113,35,33,33,33.0,norm,0
agent01e,113,34,33,32,32.0,norm,0
agent01f,113,33,32,31,31.0,norm,0
agent020,113,33,32,31,31.0,norm,0
agent021,113,36,33,33,33.0,norm,0
agent022,113,35,32,32,32.0,norm,0
agent023,113,31,32,31,31.0,norm eq. self,0
agent024,113,28,32,27,27.0,norm,0
agent025,113,34,33,33,33.0,norm,0
agent026,113,33,32,31,31.0,norm,0
agent027,113,33,33,31,31.0,norm,0
agent028,113,29,32,29,29.0,norm eq. self,0
agent029,113,32,32,31,31.0,norm,0
agent02a,113,33,32,31,31.0,norm,0
agent02b,113,32,32,31,31.0,norm,0
agent02c,113,35,33,32,32.0,norm,0
agent02d,113,34,32,32,32.0,norm,0
agent02e,113,32,33,31,31.0,norm,0
agent02f,113,33,32,31,31.0,norm,0
agent030,113,32,32,32,32.0,norm eq. self,0
agent031,113,34,32,32,32.0,norm,0
agent032,113,27,33,27,27.0,norm eq. self,0
agent033,113,34,32,31,31.0,norm,0
agent034,113,34,33,33,33.0,norm,0
agent035,113,32,33,31,31.0,norm,0
agent036,113,35,33,33,33.0,norm,0
agent037,113,32,32,31,31.0,norm,0
agent038,113,34,32,31,31.0,norm,0
agent039,113,34,32,33,33.0,norm,0
agent03a,113,31,33,30,30.0,norm,0
agent03b,113,35,32,32,32.0,norm,0
agent03c,113,35,33,33,33.0,norm,0
agent03d,113,32,34,31,31.0,norm,0
agent03e,113,33,32,31,31.0,norm,0
agent03f,113,28,32,28,28.0,norm eq. self,0
agent040,113,33,32,32,32.0,norm,0
agent041,113,30,32,30,30.0,norm eq. self,0
agent042,113,34,32,32,32.0,norm,0
agent043,113,34,32,32,32.0,norm,0
agent044,113,34,33,33,33.0,norm,0
agent045,113,33,32,32,32.0,norm,0
agent046,113,33,32,32,32.0,norm,0
agent047,113,34,32,32,32.0,norm,0
agent048,113,32,33,31,31.0,norm,0
agent049,113,32,32,31,31.0,norm,0
agent04a,113,32,33,31,31.0,norm,0
agent04b,113,34,33,32,32.0,norm,0
agent04c,113,32,32,31,31.0,norm,0
agent04d,113,33,32,32,32.0,norm,0
agent04e,113,28,33,27,27.0,norm,0
agent04f,113,33,33,31,31.0,norm,0
agent050,113,33,32,32,32.0,norm,0
agent051,113,32,33,32,32.0,norm eq. self,0
agent052,113,33,32,32,32.0,norm,0
agent053,113,33,32,32,32.0,norm,0
agent054,113,34,33,32,32.0,norm,0
agent055,113,32,32,31,31.0,norm,0
agent056,113,32,33,31,31.0,norm,0
agent057,113,32,32,31,31.0,norm,0
agent058,113,32,33,31,31.0,norm,0
agent059,113,34,32,32,32.0,norm,0
agent05a,113,33,33,31,31.0,norm,0
agent05b,113,33,32,31,31.0,norm,0
agent05c,113,33,33,31,31.0,norm,0
agent05d,113,32,33,31,31.0,norm,0
agent05e,113,33,33,31,31.0,norm,0
agent05f,113,34,32,32,32.0,norm,0
agent060,113,32,32,31,31.0,norm,0
agent061,113,33,33,32,32.0,norm,0
agent062,113,34,32,31,31.0,norm,0
agent063,113,35,32,33,33.0,norm,0
agent064,113,33,33,31,31.0,norm,0
agent065,113,30,33,30,30.0,norm eq. self,0
agent066,113,34,33,31,31.0,norm,0
agent067,113,33,32,32,32.0,norm,0
agent068,113,32,32,31,31.0,norm,0
agent069,113,33,32,31,31.0,norm,0
agent06a,113,33,32,31,31.0,norm,0
agent06b,113,34,33,32,32.0,norm,0
agent06c,113,34,33,31,31.0,norm,0
agent06d,113,32,33,31,31.0,norm,0
agent06e,113,32,33,31,31.0,norm,0
agent06f,113,32,32,32,32.0,norm eq. self,0
agent070,113,32,33,31,31.0,norm,0
agent071,113,30,32,30,30.0,norm eq. self,0
agent072,113,33,33,31,31.0,norm,0
agent073,113,32,33,31,31.0,norm,0
agent074,113,30,33,30,30.0,norm eq. self,0
agent075,113,32,32,31,31.0,norm,0
agent076,113,32,33,31,31.0,norm,0
agent077,113,27,33,26,26.0,norm,0
agent078,113,34,33,31,31.0,norm,0
agent079,113,33,33,31,31.0,norm,0
agent07a,113,33,32,32,32.0,norm,0
agent07b,113,32,33,31,31.0,norm,0
agent07c,113,35,33,33,33.0,norm,0
agent07d,113,28,33,27,27.0,norm,0
agent07e,113,34,34,31,31.0,norm,0
agent07f,113,34,32,31,31.0,norm,0
agent080,113,33,32,32,32.0,norm,0
agent081,113,28,32,27,27.0,norm,0
agent082,113,33,32,32,32.0,norm,0
agent083,113,32,33,31,31.0,norm,0
agent084,113,28,33,27,27.0,norm,0
agent085,113,27,34,26,26.0,norm,0
agent086,113,36,33,33,33.0,norm,0
agent087,113,31,32,31,31.0,norm eq. self,0
agent088,113,33,32,32,32.0,norm,0
agent089,113,29,32,29,29.0,norm eq. self,0
agent08a,113,29,32,29,29.0,norm eq. self,0
agent08b,113,34,32,31,31.0,norm,0
agent08c,113,33,32,31,31.0,norm,0
agent08d,113,33,32,31,31.0,norm,0
agent08e,113,33,32,31,31.0,norm,0
agent08f,113,32,32,31,31.0,norm,0
agent090,113,33,32,31,31.0,norm,0
agent091,113,32,32,31,31.0,norm,0
agent092,113,33,32,32,32.0,norm,0
agent093,113,32,34,31,31.0,norm,0
agent094,113,27,33,27,27.0,norm eq. self,0
agent095,113,30,32,30,30.0,norm eq. self,0
agent096,113,33,32,31,31.0,norm,0
agent097,113,33,32,32,32.0,norm,0
agent098,113,33,32,31,31.0,norm,0
agent099,113,32,32,31,31.0,norm,0
agent09a,113,35,32,32,32.0,norm,0
agent09b,113,36,33,33,33.0,norm,0
agent09c,113,30,32,30,30.0,norm eq. self,0
agent09d,113,32,32,31,31.0,norm,0
agent09e,113,34,32,31,31.0,norm,0
agent09f,113,34,32,33,33.0,norm,0
agent0a0,113,32,33,31,31.0,norm,0
agent0a1,113,32,33,31,31.0,norm,0
agent0a2,113,34,32,33,33.0,norm,0
agent0a3,113,32,33,31,31.0,norm,0
agent0a4,113,27,33,27,27.0,norm eq. self,0
agent0a5,113,29,32,29,29.0,norm eq. self,0
agent0a6,113,29,33,29,29.0,norm eq. self,0
agent0a7,113,32,33,31,31.0,norm,0
agent0a8,113,32,33,31,31.0,norm,0
agent0a9,113,32,32,31,31.0,norm,0
agent0aa,113,32,33,31,31.0,norm,0
agent0ab,113,33,32,31,31.0,norm,0
agent0ac,113,33,32,31,31.0,norm,0
agent0ad,113,33,33,31,31.0,norm,0
agent0ae,113,34,32,32,32.0,norm,0
agent0af,113,27,32,26,26.0,norm,0
agent0b0,113,32,33,31,31.0,norm,0
agent0b1,113,34,33,31,31.0,norm,0
agent0b2,113,32,32,31,31.0,norm,0
agent0b3,113,33,32,32,32.0,norm,0
agent0b4,113,28,33,27,27.0,norm,0
agent0b5,113,27,34,27,27.0,norm eq. self,0
agent0b6,113,30,32,30,30.0,norm eq. self,0
agent0b7,113,32,33,31,31.0,norm,0
agent0b8,113,33,32,31,31.0,norm,0
agent0b9,113,35,33,33,33.0,norm,0
agent0ba,113,33,33,31,31.0,norm,0
agent0bb,113,27,33,26,26.0,norm,0
agent0bc,113,33,32,31,31.0,norm,0
agent0bd,113,33,32,32,32.0,norm,0
agent0be,113,33,32,31,31.0,norm,0
agent0bf,113,30,32,30,30.0,norm eq. self,0
agent0c0,113,32,33,31,31.0,norm,0
agent0c1,113,32,33,31,31.0,norm,0
agent0c2,113,32,33,31,31.0,norm,0
agent0c3,113,33,33,32,32.0,norm,0
agent0c4,113,29,33,29,29.0,norm eq. self,0
agent0c5,113,29,33,29,29.0,norm eq. self,0
agent0c6,113,33,33,31,31.0,norm,0
agent0c7,113,35,32,32,32.0,norm,0
agent000,114,33,31,31,31.0,norm,0
agent001,114,32,31,31,31.0,norm,0
agent002,114,32,31,31,31.0,norm,0
agent003,114,28,31,27,27.0,norm,0
agent004,114,33,31,31,31.0,norm,0
agent005,114,32,31,31,31.0,norm,0
