iteration, occupied land ratio, profit factor
197,0.968125,0.15937499999999982
198,0.9682,0.1590000000000007
199,0.968275,0.1586249999999998
200,0.96835,0.15824999999999978
201,0.968425,0.15787499999999977
202,0.9685,0.15749999999999975
203,0.968575,0.15712500000000063
204,0.96865,0.15674999999999972
205,0.968725,0.1563750000000006
206,0.9688,0.1559999999999997
207,0.968875,0.15562499999999968
208,0.96895,0.15525000000000055
209,0.969025,0.15487499999999965
210,0.9691,0.15450000000000053
211,0.969175,0.15412499999999962
212,0.96925,0.1537500000000005
213,0.969325,0.15337500000000048
214,0.9694,0.15299999999999958
215,0.969475,0.15262500000000045
216,0.96955,0.15224999999999955
217,0.969625,0.15187500000000043
218,0.9697,0.1515000000000004
219,0.969775,0.1511249999999995
220,0.96985,0.15075000000000038
221,0.969925,0.15037499999999948
222,0.97,0.15000000000000036
223,0.970075,0.14962500000000034
224,0.97015,0.14925000000000033
225,0.970225,0.1488750000000003
226,0.9703,0.1484999999999994
227,0.970375,0.14812500000000028
228,0.97045,0.14775000000000027
229,0.970525,0.14737500000000026
230,0.9706,0.14700000000000024
231,0.970675,0.14662500000000023
232,0.97075,0.1462500000000002
233,0.970825,0.1458750000000002
234,0.9709,0.14550000000000018
235,0.970975,0.14512500000000017
236,0.97105,0.14475000000000016
237,0.971125,0.14437500000000014
238,0.9712,0.14400000000000013
239,0.971275,0.1436250000000001
240,0.97135,0.1432500000000001
241,0.971425,0.14287500000000009
242,0.9715,0.14250000000000007
243,0.971575,0.14212500000000006
244,0.97165,0.14175000000000004
245,0.971725,0.14137500000000003
246,0.9718,0.14100000000000001
247,0.971875,0.140625
248,0.97195,0.14024999999999999
249,0.972025,0.13987499999999997
250,0.9721,0.13949999999999996
251,0.972175,0.13912499999999994
252,0.97225,0.13874999999999993
253,0.972325,0.13837499999999991
254,0.9724,0.1379999999999999
255,0.972475,0.1376249999999999
256,0.97255,0.13724999999999987
257,0.972625,0.13687499999999986
258,0.9727,0.13649999999999984
259,0.972775,0.13612499999999983
260,0.97285,0.13574999999999982
261,0.972925,0.1353749999999998
262,0.973,0.1349999999999998
263,0.973075,0.13462499999999977
264,0.97315,0.13424999999999976
265,0.973225,0.13387499999999974
266,0.9733,0.13349999999999973
267,0.973375,0.13312499999999972
268,0.97345,0.1327499999999997
269,0.973525,0.1323749999999997
