iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, QUART
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent097,0,22,42,22,22.0,self,3
agent098,0,5,28,5,5.0,self,1
agent099,0,23,16,23,23.0,self,1
agent09a,0,21,30,21,21.0,self,2
agent09b,0,16,38,16,16.0,self,1
agent09c,0,30,3,30,30.0,self,3
agent09d,0,11,37,11,11.0,self,2
agent09e,0,14,26,14,14.0,self,2
agent09f,0,4,37,4,4.0,self,3
agent0a0,0,40,7,40,40.0,self,3
agent0a1,0,23,28,23,23.0,self,1
agent0a2,0,17,23,17,17.0,self,3
agent0a3,0,36,27,36,36.0,self,2
agent0a4,0,26,20,26,26.0,self,3
agent0a5,0,9,7,9,9.0,self,3
agent0a6,0,34,31,34,34.0,self,1
agent0a7,0,34,20,34,34.0,self,3
agent0a8,0,42,24,42,42.0,self,2
agent0a9,0,23,24,23,23.0,self,3
agent0aa,0,31,26,31,31.0,self,2
agent0ab,0,16,30,16,16.0,self,3
agent0ac,0,33,31,33,33.0,self,1
agent0ad,0,41,26,41,41.0,self,3
agent0ae,0,40,14,40,40.0,self,1
agent0af,0,19,14,19,19.0,self,1
agent0b0,0,28,14,28,28.0,self,1
agent0b1,0,41,40,41,41.0,self,2
agent0b2,0,24,33,24,24.0,self,3
agent0b3,0,40,30,40,40.0,self,2
agent0b4,0,40,34,40,40.0,self,1
agent0b5,0,23,16,23,23.0,self,1
agent0b6,0,14,25,14,14.0,self,1
agent0b7,0,41,12,41,41.0,self,2
agent0b8,0,36,37,36,36.0,self,1
agent0b9,0,36,34,36,36.0,self,3
agent0ba,0,8,5,8,8.0,self,3
agent0bb,0,33,40,33,33.0,self,2
agent0bc,0,22,12,22,22.0,self,2
agent0bd,0,18,34,18,18.0,self,3
agent0be,0,16,33,16,16.0,self,1
agent0bf,0,5,27,5,5.0,self,2
agent0c0,0,21,16,21,21.0,self,3
agent0c1,0,8,17,8,8.0,self,1
agent0c2,0,19,33,19,19.0,self,3
