iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, RND
dec_strat, MAJ3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent097,0,22,20,22,22.0,self,3
agent098,0,5,15,5,5.0,self,1
agent099,0,23,34,23,23.0,norm=self,1
agent09a,0,21,9,21,21.0,self,2
agent09b,0,16,41,16,16.0,self,1
agent09c,0,30,5,30,30.0,self,3
agent09d,0,11,41,11,11.0,self,2
agent09e,0,14,20,14,14.0,self,2
agent09f,0,4,9,4,4.0,self,3
agent0a0,0,40,42,40,40.0,self,3
agent0a1,0,23,16,23,23.0,self,1
agent0a2,0,17,8,17,17.0,self,3
agent0a3,0,36,15,36,36.0,self,2
agent0a4,0,26,9,26,26.0,self,3
agent0a5,0,9,22,9,9.0,self,3
agent0a6,0,34,20,34,34.0,self,1
agent0a7,0,34,23,34,34.0,self,3
agent0a8,0,42,22,42,42.0,self,2
agent0a9,0,23,38,23,23.0,self,3
agent0aa,0,31,33,31,31.0,self,2
agent0ab,0,16,28,16,16.0,self,3
agent0ac,0,33,21,33,33.0,self,1
agent0ad,0,41,31,41,41.0,self,3
agent0ae,0,40,30,40,40.0,self,1
agent0af,0,19,27,19,19.0,self,1
agent0b0,0,28,19,28,28.0,self,1
agent0b1,0,41,2,41,41.0,self,2
agent0b2,0,24,39,24,24.0,self,3
agent0b3,0,40,21,40,40.0,self,2
agent0b4,0,40,17,40,40.0,self,1
agent0b5,0,23,22,23,23.0,self,1
agent0b6,0,14,41,14,14.0,self,1
agent0b7,0,41,16,41,41.0,self,2
agent0b8,0,36,32,36,36.0,self,1
agent0b9,0,36,22,36,36.0,self,3
agent0ba,0,8,29,8,8.0,self,3
agent0bb,0,33,43,33,33.0,self,2
agent0bc,0,22,20,22,22.0,self,2
agent0bd,0,18,36,18,18.0,self,3
agent0be,0,16,28,16,16.0,self,1
agent0bf,0,5,31,5,5.0,self,2
agent0c0,0,21,34,21,21.0,self,3
agent0c1,0,8,3,8,8.0,self,1
agent0c2,0,19,14,19,19.0,self,3
agent0c3,0,16,12,16,16.0,self,3
agent0c4,0,15,41,15,15.0,self,1
agent0c5,0,2,19,2,2.0,self,1
agent0c6,0,27,31,27,27.0,self,2
agent0c7,0,3,20,3,3.0,self,2
agent000,1,16,35,16,16.0,norm=self,0
agent001,1,16,9,24,24.0,norm,9
agent002,1,14,37,14,14.0,self,1
agent003,1,39,25,39,39.0,self,1
agent004,1,17,13,17,17.0,self,2
agent005,1,28,40,28,28.0,self,2
agent006,1,25,39,25,25.0,self,2
agent007,1,4,41,4,4.0,self,1
agent008,1,44,24,40,40.0,norm,2
agent009,1,32,16,32,32.0,self,1
agent00a,1,19,31,19,19.0,self,1
agent00b,1,36,28,24,24.0,norm,9
agent00c,1,33,42,33,33.0,self,1
agent00d,1,14,38,14,14.0,self,2
agent00e,1,34,9,34,34.0,self,1
agent00f,1,17,17,24,24.0,norm,10
agent010,1,41,19,41,41.0,self,2
agent011,1,24,22,24,24.0,self,2
agent012,1,13,43,13,13.0,self,1
agent013,1,37,39,37,37.0,self,3
agent014,1,18,43,24,24.0,norm,9
agent015,1,18,19,18,18.0,self,1
agent016,1,31,24,31,31.0,self,1
agent017,1,38,19,38,38.0,self,2
agent018,1,21,34,21,21.0,self,3
agent019,1,36,26,36,36.0,self,3
agent01a,1,13,25,8,8.0,norm,4
agent01b,1,16,23,16,16.0,self,1
agent01c,1,13,20,13,13.0,self,3
agent01d,1,38,23,38,38.0,self,3
agent01e,1,19,39,19,19.0,self,1
agent01f,1,42,42,42,42.0,self,1
agent020,1,45,23,45,45.0,self,3
agent021,1,7,30,7,7.0,self,2
agent022,1,26,19,26,26.0,self,3
agent023,1,16,24,16,16.0,self,1
agent024,1,23,42,23,23.0,self,1
agent025,1,40,7,40,40.0,self,3
agent026,1,43,9,43,43.0,self,3
agent027,1,10,4,10,10.0,self,3
agent028,1,30,16,30,30.0,self,1
agent029,1,30,40,30,30.0,self,3
agent02a,1,31,26,31,31.0,self,2
agent02b,1,10,29,10,10.0,self,3
agent02c,1,41,42,41,41.0,self,2
agent02d,1,23,16,23,23.0,norm=self,0
