iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, AVG
dec_strat, THRES
popname, pop1.csv
netname, net1.csv
COMMF, 1.0

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent06a,0,65,65,65,65.0,norm eq. self,0
agent06b,0,64,65,64,64.0,norm eq. self,0
agent06c,0,64,65,64,64.0,norm eq. self,0
agent06d,0,67,65,67,67.0,norm eq. self,0
agent06e,0,67,65,67,67.0,norm eq. self,0
agent06f,0,68,65,68,68.0,norm eq. self,1
agent070,0,64,65,64,64.0,norm eq. self,0
agent071,0,62,65,62,62.0,norm eq. self,0
agent072,0,68,65,68,68.0,norm eq. self,1
agent073,0,67,65,67,67.0,norm eq. self,0
agent074,0,67,65,67,67.0,norm eq. self,0
agent075,0,69,65,69,69.0,norm eq. self,1
agent076,0,62,65,62,62.0,norm eq. self,0
agent077,0,65,65,65,65.0,norm eq. self,1
agent078,0,67,65,67,67.0,norm eq. self,0
agent079,0,67,65,67,67.0,norm eq. self,1
agent07a,0,64,65,64,64.0,norm eq. self,0
agent07b,0,67,66,67,67.0,norm eq. self,1
agent07c,0,65,65,65,65.0,norm eq. self,0
agent07d,0,69,65,69,69.0,norm eq. self,1
agent07e,0,67,65,67,67.0,norm eq. self,1
agent07f,0,65,65,65,65.0,norm eq. self,1
agent080,0,66,66,66,66.0,norm eq. self,1
agent081,0,66,65,66,66.0,norm eq. self,0
agent082,0,72,65,72,72.0,norm eq. self,1
agent083,0,67,65,67,67.0,norm eq. self,0
agent084,0,68,66,68,68.0,norm eq. self,1
agent085,0,65,65,65,65.0,norm eq. self,0
agent086,0,66,65,66,66.0,norm eq. self,1
agent087,0,66,65,66,66.0,norm eq. self,1
agent088,0,63,65,63,63.0,norm eq. self,0
agent089,0,64,65,64,64.0,norm eq. self,0
agent08a,0,66,65,66,66.0,norm eq. self,1
agent08b,0,67,65,67,67.0,norm eq. self,0
agent08c,0,64,65,64,64.0,norm eq. self,1
agent08d,0,68,65,68,68.0,norm eq. self,1
agent08e,0,62,65,62,62.0,norm eq. self,0
agent08f,0,66,65,66,66.0,norm eq. self,1
agent090,0,68,66,68,68.0,norm eq. self,1
agent091,0,67,65,67,67.0,norm eq. self,1
agent092,0,67,65,67,67.0,norm eq. self,1
agent093,0,64,65,64,64.0,norm eq. self,0
agent094,0,64,65,64,64.0,norm eq. self,0
agent095,0,65,65,65,65.0,norm eq. self,1
agent096,0,65,65,65,65.0,norm eq. self,1
agent097,0,69,65,69,69.0,norm eq. self,1
agent098,0,65,65,65,65.0,norm eq. self,1
agent099,0,66,66,66,66.0,norm eq. self,1
agent09a,0,68,65,68,68.0,norm eq. self,1
agent09b,0,65,66,65,65.0,norm eq. self,1
agent09c,0,63,65,63,63.0,norm eq. self,1
agent09d,0,65,65,65,65.0,norm eq. self,1
agent09e,0,64,65,64,64.0,norm eq. self,0
agent09f,0,64,65,64,64.0,norm eq. self,0
agent0a0,0,64,65,64,64.0,norm eq. self,0
agent0a1,0,67,66,67,67.0,norm eq. self,1
agent0a2,0,66,65,66,66.0,norm eq. self,1
agent0a3,0,64,65,64,64.0,norm eq. self,0
agent0a4,0,65,65,65,65.0,norm eq. self,0
agent0a5,0,68,65,68,68.0,norm eq. self,1
agent0a6,0,67,65,67,67.0,norm eq. self,0
agent0a7,0,66,65,66,66.0,norm eq. self,0
agent0a8,0,63,65,63,63.0,norm eq. self,0
agent0a9,0,63,65,63,63.0,norm eq. self,0
agent0aa,0,66,65,66,66.0,norm eq. self,1
agent0ab,0,64,65,64,64.0,norm eq. self,0
agent0ac,0,67,65,67,67.0,norm eq. self,1
agent0ad,0,65,65,65,65.0,norm eq. self,0
agent0ae,0,63,65,63,63.0,norm eq. self,0
agent0af,0,66,65,66,66.0,norm eq. self,1
agent0b0,0,60,65,60,60.0,norm eq. self,0
agent0b1,0,64,65,64,64.0,norm eq. self,0
agent0b2,0,65,65,65,65.0,norm eq. self,1
agent0b3,0,68,65,68,68.0,norm eq. self,1
agent0b4,0,64,65,64,64.0,norm eq. self,1
agent0b5,0,66,65,66,66.0,norm eq. self,1
agent0b6,0,63,66,63,63.0,norm eq. self,1
agent0b7,0,68,66,68,68.0,norm eq. self,1
agent0b8,0,66,65,66,66.0,norm eq. self,0
agent0b9,0,68,65,68,68.0,norm eq. self,1
agent0ba,0,67,66,67,67.0,norm eq. self,1
agent0bb,0,69,65,69,69.0,norm eq. self,2
agent0bc,0,66,65,66,66.0,norm eq. self,1
agent0bd,0,62,65,62,62.0,norm eq. self,0
agent0be,0,64,66,64,64.0,norm eq. self,0
agent0bf,0,66,65,66,66.0,norm eq. self,0
agent0c0,0,65,65,65,65.0,norm eq. self,1
agent0c1,0,69,65,69,69.0,norm eq. self,1
agent0c2,0,66,65,66,66.0,norm eq. self,1
agent0c3,0,68,65,68,68.0,norm eq. self,1
agent0c4,0,67,65,67,67.0,norm eq. self,0
agent0c5,0,64,65,64,64.0,norm eq. self,0
agent0c6,0,62,65,62,62.0,norm eq. self,0
agent0c7,0,65,65,65,65.0,norm eq. self,1
agent000,1,69,66,69,69.0,norm eq. self,1
agent001,1,66,66,66,66.0,norm eq. self,1
agent002,1,69,66,69,69.0,norm eq. self,1
agent003,1,62,66,62,62.0,norm eq. self,0
agent004,1,66,66,66,66.0,norm eq. self,0
agent005,1,66,66,66,66.0,norm eq. self,1
agent006,1,66,66,66,66.0,norm eq. self,1
agent007,1,64,66,64,64.0,norm eq. self,0
agent008,1,66,66,66,66.0,norm eq. self,1
agent009,1,69,66,69,69.0,norm eq. self,1
agent00a,1,65,66,65,65.0,norm eq. self,0
agent00b,1,68,66,68,68.0,norm eq. self,1
agent00c,1,64,66,64,64.0,norm eq. self,0
agent00d,1,69,66,69,69.0,norm eq. self,1
agent00e,1,66,65,66,66.0,norm eq. self,1
agent00f,1,69,66,69,69.0,norm eq. self,1
agent010,1,68,66,68,68.0,norm eq. self,1
agent011,1,62,66,62,62.0,norm eq. self,0
agent012,1,67,66,67,67.0,norm eq. self,0
agent013,1,64,66,64,64.0,norm eq. self,0
agent014,1,64,66,64,64.0,norm eq. self,0
agent015,1,64,66,64,64.0,norm eq. self,0
agent016,1,69,66,69,69.0,norm eq. self,1
agent017,1,63,66,63,63.0,norm eq. self,0
agent018,1,64,66,64,64.0,norm eq. self,0
agent019,1,64,66,64,64.0,norm eq. self,0
agent01a,1,66,65,66,66.0,norm eq. self,1
agent01b,1,66,65,66,66.0,norm eq. self,1
agent01c,1,69,66,69,69.0,norm eq. self,1
agent01d,1,64,66,64,64.0,norm eq. self,1
agent01e,1,67,66,67,67.0,norm eq. self,1
agent01f,1,64,65,64,64.0,norm eq. self,0
agent020,1,66,66,66,66.0,norm eq. self,1
agent021,1,62,66,62,62.0,norm eq. self,0
agent022,1,70,66,70,70.0,norm eq. self,1
agent023,1,67,66,67,67.0,norm eq. self,0
agent024,1,67,66,67,67.0,norm eq. self,0
agent025,1,70,66,70,70.0,norm eq. self,1
agent026,1,66,66,66,66.0,norm eq. self,1
agent027,1,66,66,66,66.0,norm eq. self,0
agent028,1,66,66,66,66.0,norm eq. self,1
agent029,1,69,66,69,69.0,norm eq. self,1
agent02a,1,67,66,67,67.0,norm eq. self,1
agent02b,1,70,66,70,70.0,norm eq. self,1
agent02c,1,64,66,64,64.0,norm eq. self,1
agent02d,1,62,66,62,62.0,norm eq. self,0
agent02e,1,63,65,63,63.0,norm eq. self,0
agent02f,1,65,66,65,65.0,norm eq. self,0
agent030,1,62,66,62,62.0,norm eq. self,0
agent031,1,70,66,70,70.0,norm eq. self,1
agent032,1,68,65,68,68.0,norm eq. self,1
agent033,1,64,66,64,64.0,norm eq. self,0
agent034,1,62,66,62,62.0,norm eq. self,0
agent035,1,64,66,64,64.0,norm eq. self,0
agent036,1,64,66,64,64.0,norm eq. self,0
agent037,1,67,66,67,67.0,norm eq. self,0
agent038,1,64,66,64,64.0,norm eq. self,0
agent039,1,63,66,63,63.0,norm eq. self,0
agent03a,1,66,65,66,66.0,norm eq. self,1
