iteration,occupied land ratio,profit factor
0,0.322275,1.0
1,0.322175,1.0
2,0.322125,1.0
3,0.321975,1.0
4,0.323,1.0
5,0.32325,1.0
6,0.32345,1.0
7,0.3225,1.0
8,0.32285,1.0
9,0.32265,1.0
10,0.3231,1.0
11,0.32395,1.0
12,0.32325,1.0
13,0.323325,1.0
14,0.323025,1.0
15,0.321675,1.0
16,0.3228,1.0
17,0.32265,1.0
18,0.322825,1.0
19,0.32215,1.0
20,0.322175,1.0
21,0.321075,1.0
22,0.32145,1.0
23,0.321625,1.0
24,0.32225,1.0
25,0.3221,1.0
26,0.322,1.0
27,0.32225,1.0
28,0.323175,1.0
29,0.323125,1.0
30,0.321875,1.0
31,0.322775,1.0
32,0.323175,1.0
33,0.322775,1.0
34,0.322925,1.0
35,0.322625,1.0
36,0.324,1.0
37,0.32375,1.0
38,0.322825,1.0
39,0.3237,1.0
40,0.3233,1.0
41,0.32265,1.0
42,0.322375,1.0
43,0.32275,1.0
44,0.3233,1.0
45,0.322925,1.0
46,0.32245,1.0
47,0.32185,1.0
48,0.3224,1.0
49,0.32275,1.0
50,0.3233,1.0
51,0.323725,1.0
52,0.32335,1.0
53,0.32265,1.0
54,0.322475,1.0
55,0.322375,1.0
56,0.3228,1.0
57,0.322825,1.0
58,0.323425,1.0
59,0.322325,1.0
60,0.322575,1.0
61,0.32255,1.0
62,0.3226,1.0
63,0.3233,1.0
64,0.322425,1.0
65,0.32285,1.0
66,0.32275,1.0
67,0.322825,1.0
68,0.323075,1.0
69,0.322825,1.0
70,0.322475,1.0
71,0.3227,1.0
72,0.322175,1.0
73,0.32245,1.0
74,0.3221,1.0
75,0.322525,1.0
76,0.322525,1.0
77,0.3226,1.0
78,0.322175,1.0
79,0.3232,1.0
80,0.322525,1.0
81,0.3228,1.0
82,0.3225,1.0
83,0.321875,1.0
84,0.3219,1.0
85,0.322325,1.0
86,0.323,1.0
87,0.322975,1.0
88,0.32385,1.0
89,0.32185,1.0
90,0.322875,1.0
91,0.322425,1.0
92,0.3225,1.0
93,0.3216,1.0
94,0.32145,1.0
95,0.3224,1.0
96,0.322675,1.0
97,0.323275,1.0
98,0.322575,1.0
99,0.322125,1.0
100,0.32295,1.0
101,0.322625,1.0
102,0.322625,1.0
103,0.3225,1.0
104,0.322675,1.0
105,0.323175,1.0
106,0.322675,1.0
107,0.323025,1.0
108,0.323125,1.0
109,0.322475,1.0
110,0.322525,1.0
111,0.321425,1.0
112,0.3221,1.0
113,0.3221,1.0
114,0.322625,1.0
115,0.32225,1.0
116,0.3226,1.0
117,0.323325,1.0
118,0.323425,1.0
119,0.32215,1.0
120,0.322175,1.0
121,0.3226,1.0
122,0.32335,1.0
123,0.3231,1.0
124,0.32275,1.0
125,0.323075,1.0
126,0.323025,1.0
127,0.3229,1.0
128,0.323075,1.0
129,0.3232,1.0
130,0.32245,1.0
131,0.32195,1.0
132,0.322825,1.0
133,0.3225,1.0
134,0.32235,1.0
135,0.322625,1.0
136,0.323425,1.0
137,0.3237,1.0
138,0.323925,1.0
139,0.323825,1.0
140,0.32355,1.0
141,0.323825,1.0
142,0.323375,1.0
143,0.32285,1.0
144,0.3227,1.0
145,0.323,1.0
146,0.323475,1.0
147,0.323825,1.0
148,0.32365,1.0
149,0.32285,1.0
150,0.323375,1.0
151,0.32315,1.0
152,0.322425,1.0
153,0.322625,1.0
154,0.322175,1.0
155,0.32205,1.0
156,0.32335,1.0
157,0.322575,1.0
158,0.3222,1.0
159,0.32235,1.0
160,0.3225,1.0
161,0.32285,1.0
162,0.3222,1.0
163,0.322475,1.0
164,0.322725,1.0
165,0.32335,1.0
166,0.322725,1.0
167,0.3235,1.0
168,0.32265,1.0
169,0.323575,1.0
170,0.322625,1.0
171,0.3224,1.0
172,0.32265,1.0
173,0.322575,1.0
174,0.323675,1.0
175,0.3224,1.0
176,0.322375,1.0
177,0.3228,1.0
178,0.323325,1.0
179,0.323475,1.0
180,0.322875,1.0
181,0.323525,1.0
182,0.32295,1.0
183,0.3225,1.0
184,0.3226,1.0
185,0.32325,1.0
186,0.323075,1.0
187,0.323625,1.0
188,0.322775,1.0
189,0.322375,1.0
190,0.323025,1.0
191,0.322975,1.0
192,0.32245,1.0
193,0.32225,1.0
194,0.322375,1.0
195,0.321875,1.0
196,0.321875,1.0
197,0.322025,1.0
198,0.322525,1.0
199,0.322625,1.0
200,0.3239,1.0
201,0.323775,1.0
202,0.3236,1.0
203,0.3231,1.0
204,0.322775,1.0
205,0.321875,1.0
206,0.32265,1.0
207,0.322,1.0
208,0.321925,1.0
