iteration,occupied land ratio,profit factor
127,0.33775,1.0
128,0.33775,1.0
129,0.33775,1.0
130,0.33775,1.0
131,0.33775,1.0
132,0.33775,1.0
133,0.33775,1.0
134,0.33775,1.0
135,0.33775,1.0
136,0.33775,1.0
137,0.33775,1.0
138,0.33775,1.0
139,0.33775,1.0
140,0.33775,1.0
141,0.33775,1.0
142,0.33775,1.0
143,0.33775,1.0
144,0.33775,1.0
145,0.33775,1.0
146,0.33775,1.0
147,0.33775,1.0
148,0.33775,1.0
149,0.33775,1.0
150,0.33775,1.0
151,0.33775,1.0
152,0.33775,1.0
153,0.33775,1.0
154,0.33775,1.0
155,0.33775,1.0
156,0.33775,1.0
157,0.33775,1.0
158,0.33775,1.0
159,0.33775,1.0
160,0.33775,1.0
161,0.33775,1.0
162,0.33775,1.0
163,0.33775,1.0
164,0.33775,1.0
165,0.33775,1.0
166,0.33775,1.0
167,0.33775,1.0
168,0.33775,1.0
169,0.33775,1.0
170,0.33775,1.0
171,0.33775,1.0
172,0.33775,1.0
173,0.33775,1.0
174,0.33775,1.0
175,0.33775,1.0
176,0.33775,1.0
177,0.33775,1.0
178,0.33775,1.0
179,0.33775,1.0
180,0.33775,1.0
181,0.33775,1.0
182,0.33775,1.0
183,0.33775,1.0
184,0.33775,1.0
185,0.33775,1.0
186,0.33775,1.0
187,0.33775,1.0
188,0.33775,1.0
189,0.33775,1.0
190,0.33775,1.0
191,0.33775,1.0
192,0.33775,1.0
193,0.33775,1.0
194,0.33775,1.0
195,0.33775,1.0
196,0.33775,1.0
197,0.33775,1.0
198,0.33775,1.0
199,0.33775,1.0
200,0.33775,1.0
201,0.33775,1.0
202,0.33775,1.0
203,0.33775,1.0
204,0.33775,1.0
205,0.33775,1.0
206,0.33775,1.0
207,0.33775,1.0
208,0.33775,1.0
209,0.33775,1.0
210,0.33775,1.0
211,0.33775,1.0
212,0.33775,1.0
213,0.33775,1.0
214,0.33775,1.0
215,0.33775,1.0
216,0.33775,1.0
217,0.33775,1.0
218,0.33775,1.0
219,0.33775,1.0
220,0.33775,1.0
221,0.33775,1.0
222,0.33775,1.0
223,0.33775,1.0
224,0.33775,1.0
225,0.33775,1.0
226,0.33775,1.0
227,0.33775,1.0
228,0.33775,1.0
229,0.33775,1.0
230,0.33775,1.0
231,0.33775,1.0
232,0.33775,1.0
233,0.33775,1.0
234,0.33775,1.0
235,0.33775,1.0
236,0.33775,1.0
237,0.33775,1.0
238,0.33775,1.0
239,0.33775,1.0
240,0.33775,1.0
241,0.33775,1.0
242,0.33775,1.0
243,0.33775,1.0
244,0.33775,1.0
245,0.33775,1.0
246,0.33775,1.0
247,0.33775,1.0
248,0.33775,1.0
249,0.33775,1.0
250,0.33775,1.0
251,0.33775,1.0
252,0.33775,1.0
253,0.33775,1.0
254,0.33775,1.0
255,0.33775,1.0
256,0.33775,1.0
257,0.33775,1.0
258,0.33775,1.0
259,0.33775,1.0
260,0.33775,1.0
261,0.33775,1.0
262,0.33775,1.0
263,0.33775,1.0
264,0.33775,1.0
265,0.33775,1.0
266,0.33775,1.0
267,0.33775,1.0
268,0.33775,1.0
269,0.33775,1.0
270,0.33775,1.0
271,0.33775,1.0
272,0.33775,1.0
273,0.33775,1.0
274,0.33775,1.0
275,0.33775,1.0
276,0.33775,1.0
277,0.33775,1.0
278,0.33775,1.0
279,0.33775,1.0
280,0.33775,1.0
281,0.33775,1.0
282,0.33775,1.0
283,0.33775,1.0
284,0.33775,1.0
285,0.33775,1.0
286,0.33775,1.0
287,0.33775,1.0
288,0.33775,1.0
289,0.33775,1.0
290,0.33775,1.0
291,0.33775,1.0
292,0.33775,1.0
293,0.33775,1.0
294,0.33775,1.0
295,0.33775,1.0
296,0.33775,1.0
297,0.33775,1.0
298,0.33775,1.0
299,0.33775,1.0
