iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, AVG
dec_strat, QUART
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent085,0,64,64,64,64.0,norm eq. self,0
agent086,0,67,66,65,65.0,norm,1
agent087,0,67,65,66,66.0,norm,0
agent088,0,64,67,63,63.0,norm,1
agent089,0,64,66,64,64.0,norm eq. self,0
agent08a,0,66,66,65,65.0,norm,0
agent08b,0,62,65,62,62.0,norm eq. self,0
agent08c,0,67,64,65,65.0,norm,1
agent08d,0,67,64,66,66.0,norm,0
agent08e,0,64,67,64,64.0,norm eq. self,0
agent08f,0,67,65,66,66.0,norm,0
agent090,0,68,67,66,66.0,norm,1
agent091,0,67,65,66,66.0,norm,0
agent092,0,67,64,66,66.0,norm,0
agent093,0,62,65,62,62.0,norm eq. self,0
agent094,0,64,65,64,64.0,norm eq. self,0
agent095,0,67,65,66,66.0,norm,0
agent096,0,66,64,65,65.0,norm,0
agent097,0,66,66,66,66.0,norm eq. self,0
agent098,0,67,64,66,66.0,norm,0
agent099,0,68,64,67,67.0,norm,0
agent09a,0,67,64,66,66.0,norm,0
agent09b,0,67,66,66,66.0,norm,0
agent09c,0,67,64,66,66.0,norm,0
agent09d,0,68,66,65,65.0,norm,1
agent09e,0,64,67,64,64.0,norm eq. self,0
agent09f,0,62,66,62,62.0,norm eq. self,0
agent0a0,0,62,62,63,63.0,norm,1
agent0a1,0,67,64,66,66.0,norm,0
agent0a2,0,67,67,66,66.0,norm,0
agent0a3,0,62,66,62,62.0,norm eq. self,0
agent0a4,0,64,66,64,64.0,norm eq. self,0
agent0a5,0,67,66,66,66.0,norm,0
agent0a6,0,62,64,62,62.0,norm eq. self,0
agent0a7,0,64,65,64,64.0,norm eq. self,0
agent0a8,0,64,66,64,64.0,norm eq. self,0
agent0a9,0,64,67,64,64.0,norm eq. self,0
agent0aa,0,67,66,66,66.0,norm,0
agent0ab,0,64,62,64,64.0,norm eq. self,0
agent0ac,0,67,64,65,65.0,norm,1
agent0ad,0,66,62,66,66.0,norm eq. self,0
agent0ae,0,64,67,64,64.0,norm eq. self,0
agent0af,0,66,66,66,66.0,norm eq. self,1
agent0b0,0,64,67,63,63.0,norm,1
agent0b1,0,64,67,64,64.0,norm eq. self,0
agent0b2,0,67,64,66,66.0,norm,0
agent0b3,0,67,66,66,66.0,norm,0
agent0b4,0,67,65,66,66.0,norm,0
agent0b5,0,67,67,66,66.0,norm,0
agent0b6,0,65,66,64,64.0,norm,0
agent0b7,0,68,64,66,66.0,norm,1
agent0b8,0,62,65,62,62.0,norm eq. self,0
agent0b9,0,66,64,66,66.0,norm eq. self,1
agent0ba,0,68,67,67,67.0,norm,0
agent0bb,0,67,65,65,65.0,norm,1
agent0bc,0,67,66,66,66.0,norm,0
agent0bd,0,62,64,62,62.0,norm eq. self,0
agent0be,0,64,66,64,64.0,norm eq. self,0
agent0bf,0,64,62,64,64.0,norm eq. self,0
agent0c0,0,67,67,65,65.0,norm,1
agent0c1,0,67,64,66,66.0,norm,0
agent0c2,0,65,67,65,65.0,norm eq. self,1
agent0c3,0,67,65,65,65.0,norm,1
agent0c4,0,67,65,66,66.0,norm,1
agent0c5,0,64,65,64,64.0,norm eq. self,0
agent0c6,0,62,64,62,62.0,norm eq. self,0
agent0c7,0,67,67,66,66.0,norm,0
agent000,1,67,65,66,66.0,norm,0
agent001,1,67,65,66,66.0,norm,0
agent002,1,67,65,66,66.0,norm,0
agent003,1,66,65,66,66.0,norm eq. self,0
agent004,1,64,65,64,64.0,norm eq. self,0
agent005,1,67,65,66,66.0,norm,0
agent006,1,66,65,65,65.0,norm,0
agent007,1,62,65,62,62.0,norm eq. self,0
agent008,1,66,65,65,65.0,norm,0
agent009,1,67,65,66,66.0,norm,0
agent00a,1,65,65,65,65.0,norm eq. self,0
agent00b,1,68,65,66,66.0,norm,0
agent00c,1,64,65,64,64.0,norm eq. self,0
agent00d,1,67,65,66,66.0,norm,0
agent00e,1,67,65,66,66.0,norm,0
agent00f,1,66,65,65,65.0,norm,0
agent010,1,67,65,66,66.0,norm,0
agent011,1,64,65,64,64.0,norm eq. self,0
agent012,1,64,65,64,64.0,norm eq. self,0
agent013,1,64,65,64,64.0,norm eq. self,0
agent014,1,64,65,64,64.0,norm eq. self,0
agent015,1,64,65,64,64.0,norm eq. self,0
agent016,1,67,65,66,66.0,norm,0
agent017,1,64,65,64,64.0,norm eq. self,0
agent018,1,64,65,64,64.0,norm eq. self,0
agent019,1,66,65,66,66.0,norm eq. self,0
agent01a,1,65,64,64,64.0,norm,0
agent01b,1,66,65,65,65.0,norm,0
agent01c,1,68,65,67,67.0,norm,0
agent01d,1,66,65,65,65.0,norm,0
agent01e,1,66,65,65,65.0,norm,0
agent01f,1,62,65,62,62.0,norm eq. self,0
agent020,1,67,65,66,66.0,norm,0
agent021,1,62,64,62,62.0,norm eq. self,0
agent022,1,67,65,66,66.0,norm,0
agent023,1,65,65,65,65.0,norm eq. self,0
agent024,1,62,65,62,62.0,norm eq. self,0
agent025,1,67,65,66,66.0,norm,0
agent026,1,65,65,64,64.0,norm,0
agent027,1,64,65,64,64.0,norm eq. self,0
agent028,1,67,65,66,66.0,norm,0
agent029,1,67,65,66,66.0,norm,0
agent02a,1,66,65,65,65.0,norm,0
agent02b,1,67,65,66,66.0,norm,0
agent02c,1,68,65,66,66.0,norm,0
agent02d,1,62,65,62,62.0,norm eq. self,0
agent02e,1,64,65,64,64.0,norm eq. self,0
agent02f,1,62,65,62,62.0,norm eq. self,0
agent030,1,66,65,66,66.0,norm eq. self,0
agent031,1,67,65,66,66.0,norm,0
agent032,1,66,65,65,65.0,norm,0
agent033,1,64,65,64,64.0,norm eq. self,0
agent034,1,64,65,64,64.0,norm eq. self,0
agent035,1,62,65,62,62.0,norm eq. self,0
agent036,1,64,65,64,64.0,norm eq. self,0
agent037,1,62,65,62,62.0,norm eq. self,0
agent038,1,62,64,62,62.0,norm eq. self,0
agent039,1,64,65,64,64.0,norm eq. self,0
agent03a,1,67,65,66,66.0,norm,0
agent03b,1,64,65,64,64.0,norm eq. self,0
agent03c,1,67,65,66,66.0,norm,0
agent03d,1,66,65,65,65.0,norm,0
agent03e,1,67,65,66,66.0,norm,0
agent03f,1,65,65,64,64.0,norm,0
agent040,1,62,65,62,62.0,norm eq. self,0
agent041,1,66,65,66,66.0,norm eq. self,0
agent042,1,64,65,64,64.0,norm eq. self,0
agent043,1,67,65,66,66.0,norm,0
agent044,1,64,65,64,64.0,norm eq. self,0
agent045,1,67,65,66,66.0,norm,0
agent046,1,64,65,64,64.0,norm eq. self,0
agent047,1,67,65,66,66.0,norm,0
agent048,1,67,65,66,66.0,norm,0
