iteration,occupied land ratio,profit factor
0,0.30915,1.0
1,0.30915,1.0
2,0.30915,1.0
3,0.3092,1.0
4,0.3092,1.0
5,0.3092,1.0
6,0.309225,1.0
7,0.309225,1.0
8,0.309225,1.0
9,0.309225,1.0
10,0.309225,1.0
11,0.309225,1.0
12,0.30925,1.0
13,0.30925,1.0
14,0.30925,1.0
15,0.30925,1.0
16,0.30925,1.0
17,0.30925,1.0
18,0.30925,1.0
19,0.30925,1.0
20,0.30925,1.0
21,0.30925,1.0
22,0.30925,1.0
23,0.309275,1.0
24,0.309275,1.0
25,0.309275,1.0
26,0.30925,1.0
27,0.30925,1.0
28,0.30925,1.0
29,0.3093,1.0
30,0.3093,1.0
31,0.3093,1.0
32,0.30935,1.0
33,0.309375,1.0
34,0.3094,1.0
35,0.309425,1.0
36,0.309425,1.0
37,0.309425,1.0
38,0.309425,1.0
39,0.309425,1.0
40,0.309425,1.0
41,0.309425,1.0
42,0.309425,1.0
43,0.309425,1.0
44,0.309425,1.0
45,0.309425,1.0
46,0.309425,1.0
47,0.309425,1.0
48,0.309425,1.0
49,0.309425,1.0
50,0.309425,1.0
51,0.3094,1.0
52,0.309425,1.0
53,0.309425,1.0
54,0.309425,1.0
55,0.3094,1.0
56,0.30945,1.0
57,0.30945,1.0
58,0.309475,1.0
59,0.3095,1.0
60,0.3095,1.0
61,0.3095,1.0
62,0.3095,1.0
63,0.3095,1.0
64,0.3095,1.0
65,0.3095,1.0
66,0.3095,1.0
67,0.3095,1.0
68,0.309525,1.0
69,0.309525,1.0
70,0.30955,1.0
71,0.309575,1.0
72,0.309575,1.0
73,0.309575,1.0
74,0.3096,1.0
75,0.309625,1.0
76,0.30965,1.0
77,0.309675,1.0
78,0.3097,1.0
79,0.3097,1.0
80,0.3097,1.0
81,0.309675,1.0
82,0.309675,1.0
83,0.3097,1.0
84,0.3097,1.0
85,0.30975,1.0
86,0.3098,1.0
87,0.3098,1.0
88,0.309775,1.0
89,0.309775,1.0
90,0.309775,1.0
91,0.309775,1.0
92,0.3098,1.0
93,0.3098,1.0
94,0.3098,1.0
95,0.3098,1.0
96,0.3098,1.0
97,0.3098,1.0
98,0.3098,1.0
99,0.3098,1.0
100,0.3098,1.0
101,0.3098,1.0
102,0.309825,1.0
103,0.309825,1.0
104,0.309825,1.0
105,0.309825,1.0
106,0.30985,1.0
107,0.30985,1.0
108,0.309875,1.0
109,0.3099,1.0
110,0.3099,1.0
111,0.3099,1.0
112,0.3099,1.0
113,0.3099,1.0
114,0.309925,1.0
115,0.309925,1.0
116,0.309925,1.0
117,0.309925,1.0
118,0.30995,1.0
119,0.30995,1.0
120,0.30995,1.0
121,0.30995,1.0
122,0.309975,1.0
123,0.309975,1.0
124,0.31,1.0
125,0.31,1.0
126,0.31,1.0
