iteration,occupied land ratio,profit factor
0,0.32795,1.0
1,0.3308,1.0
2,0.333625,1.0
3,0.3366,1.0
4,0.339625,1.0
5,0.34255,1.0
6,0.345375,1.0
7,0.347825,1.0
8,0.349775,1.0
9,0.35225,1.0
10,0.3544,1.0
11,0.356725,1.0
12,0.35935,1.0
13,0.362025,1.0
14,0.364575,1.0
15,0.367325,1.0
16,0.370375,1.0
17,0.373475,1.0
18,0.376525,1.0
19,0.3795,1.0
20,0.382125,1.0
21,0.384375,1.0
22,0.38585,1.0
23,0.386775,1.0
24,0.387275,1.0
25,0.38745,1.0
26,0.3876,1.0
27,0.387675,1.0
28,0.387675,1.0
29,0.387675,1.0
30,0.387675,1.0
31,0.387675,1.0
32,0.387675,1.0
33,0.38775,1.0
34,0.387825,1.0
35,0.387825,1.0
36,0.388225,1.0
37,0.388325,1.0
38,0.388375,1.0
39,0.38845,1.0
40,0.388475,1.0
41,0.388525,1.0
42,0.3886,1.0
43,0.388675,1.0
44,0.38875,1.0
45,0.388825,1.0
46,0.3889,1.0
47,0.3889,1.0
48,0.388975,1.0
49,0.38905,1.0
50,0.38905,1.0
51,0.38905,1.0
52,0.38905,1.0
53,0.38905,1.0
54,0.38905,1.0
55,0.38905,1.0
56,0.38905,1.0
57,0.389225,1.0
58,0.389325,1.0
59,0.3894,1.0
60,0.389475,1.0
61,0.389625,1.0
62,0.3898,1.0
63,0.39015,1.0
64,0.39035,1.0
65,0.390625,1.0
66,0.39075,1.0
67,0.390925,1.0
68,0.391025,1.0
69,0.39115,1.0
70,0.3913,1.0
71,0.39145,1.0
72,0.3916,1.0
73,0.39175,1.0
74,0.391825,1.0
75,0.39205,1.0
76,0.39205,1.0
77,0.3922,1.0
78,0.3925,1.0
79,0.3925,1.0
80,0.3925,1.0
81,0.3925,1.0
82,0.392575,1.0
83,0.39265,1.0
84,0.39265,1.0
85,0.392775,1.0
86,0.392825,1.0
87,0.392925,1.0
88,0.393075,1.0
89,0.393125,1.0
90,0.3932,1.0
91,0.393275,1.0
92,0.393575,1.0
93,0.393725,1.0
94,0.393875,1.0
95,0.3941,1.0
96,0.3941,1.0
97,0.3941,1.0
98,0.3942,1.0
99,0.394275,1.0
100,0.394325,1.0
101,0.3944,1.0
102,0.394475,1.0
103,0.394475,1.0
104,0.394475,1.0
105,0.394475,1.0
106,0.394475,1.0
107,0.394475,1.0
108,0.394475,1.0
109,0.394475,1.0
110,0.394475,1.0
111,0.394475,1.0
112,0.394475,1.0
113,0.394475,1.0
114,0.394475,1.0
115,0.394475,1.0
116,0.394475,1.0
117,0.394475,1.0
118,0.394475,1.0
119,0.394475,1.0
120,0.394475,1.0
121,0.394475,1.0
122,0.394475,1.0
123,0.394475,1.0
124,0.394475,1.0
125,0.394475,1.0
126,0.394475,1.0
127,0.39455,1.0
128,0.394625,1.0
129,0.3947,1.0
130,0.3947,1.0
131,0.394775,1.0
132,0.394925,1.0
133,0.395,1.0
134,0.395075,1.0
135,0.39515,1.0
136,0.39515,1.0
137,0.395225,1.0
138,0.3953,1.0
139,0.3953,1.0
140,0.3953,1.0
141,0.3953,1.0
142,0.3953,1.0
143,0.3953,1.0
144,0.395375,1.0
145,0.395375,1.0
146,0.395375,1.0
147,0.395375,1.0
148,0.395375,1.0
149,0.395525,1.0
150,0.395525,1.0
151,0.395525,1.0
152,0.395525,1.0
153,0.395525,1.0
154,0.395525,1.0
155,0.395525,1.0
156,0.395525,1.0
157,0.395525,1.0
158,0.395775,1.0
159,0.3958,1.0
160,0.395925,1.0
161,0.395975,1.0
162,0.396,1.0
163,0.39605,1.0
164,0.396125,1.0
165,0.39635,1.0
166,0.3965,1.0
167,0.39665,1.0
168,0.3968,1.0
169,0.396875,1.0
170,0.39695,1.0
171,0.39695,1.0
172,0.39695,1.0
173,0.39695,1.0
174,0.39695,1.0
175,0.39695,1.0
176,0.39695,1.0
177,0.39695,1.0
178,0.397325,1.0
179,0.397325,1.0
180,0.397325,1.0
181,0.397325,1.0
182,0.397325,1.0
183,0.397325,1.0
184,0.397325,1.0
185,0.397325,1.0
