iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, THRES
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,66,68,66,66.0,norm eq. self,1
agent001,0,67,65,67,67.0,norm eq. self,1
agent002,0,67,62,67,67.0,norm eq. self,1
agent003,0,63,62,63,63.0,norm eq. self,0
agent004,0,67,66,67,67.0,norm eq. self,0
agent005,0,65,64,65,65.0,norm eq. self,1
agent006,0,65,64,65,65.0,norm eq. self,1
agent007,0,65,67,65,65.0,norm eq. self,0
agent008,0,67,65,67,67.0,norm eq. self,1
agent009,0,68,64,68,68.0,norm eq. self,1
agent00a,0,64,65,64,64.0,norm eq. self,0
agent00b,0,68,67,68,68.0,norm eq. self,1
agent00c,0,62,68,62,62.0,norm eq. self,0
agent00d,0,67,64,67,67.0,norm eq. self,1
agent00e,0,69,63,69,69.0,norm eq. self,1
agent00f,0,67,66,67,67.0,norm eq. self,1
agent010,0,68,63,68,68.0,norm eq. self,1
agent011,0,66,62,66,66.0,norm eq. self,0
agent012,0,67,62,67,67.0,norm eq. self,0
agent013,0,62,63,62,62.0,norm eq. self,0
agent014,0,67,66,67,67.0,norm eq. self,0
agent015,0,64,62,64,64.0,norm eq. self,0
agent016,0,67,68,67,67.0,norm eq. self,1
agent017,0,63,61,63,63.0,norm eq. self,0
agent018,0,61,63,61,61.0,norm eq. self,0
agent019,0,64,68,64,64.0,norm eq. self,0
agent01a,0,65,63,65,65.0,norm eq. self,1
agent01b,0,65,63,65,65.0,norm eq. self,1
agent01c,0,68,65,68,68.0,norm eq. self,1
agent01d,0,66,63,66,66.0,norm eq. self,1
agent01e,0,65,64,65,65.0,norm eq. self,1
agent01f,0,64,63,64,64.0,norm eq. self,0
agent020,0,67,66,67,67.0,norm eq. self,1
agent021,0,64,61,64,64.0,norm eq. self,0
agent022,0,68,61,68,68.0,norm eq. self,1
agent023,0,62,68,62,62.0,norm eq. self,0
agent024,0,64,66,64,64.0,norm eq. self,0
agent025,0,65,68,65,65.0,norm eq. self,1
agent026,0,66,65,66,66.0,norm eq. self,1
agent027,0,64,62,64,64.0,norm eq. self,0
agent028,0,68,67,68,68.0,norm eq. self,1
agent029,0,67,67,67,67.0,norm eq. self,1
agent02a,0,66,67,66,66.0,norm eq. self,1
agent02b,0,68,64,68,68.0,norm eq. self,1
agent02c,0,69,65,69,69.0,norm eq. self,2
agent02d,0,64,61,64,64.0,norm eq. self,0
agent02e,0,64,66,64,64.0,norm eq. self,0
agent02f,0,67,64,67,67.0,norm eq. self,0
agent030,0,66,62,66,66.0,norm eq. self,0
agent031,0,65,61,65,65.0,norm eq. self,1
agent032,0,68,65,68,68.0,norm eq. self,1
agent033,0,66,64,66,66.0,norm eq. self,0
agent034,0,67,67,67,67.0,norm eq. self,0
agent035,0,61,62,61,61.0,norm eq. self,0
agent036,0,66,64,66,66.0,norm eq. self,0
agent037,0,67,63,67,67.0,norm eq. self,0
agent038,0,64,61,64,64.0,norm eq. self,0
agent039,0,65,68,65,65.0,norm eq. self,0
agent03a,0,68,62,68,68.0,norm eq. self,1
agent03b,0,64,64,64,64.0,norm eq. self,0
agent03c,0,68,64,68,68.0,norm eq. self,1
agent03d,0,65,65,65,65.0,norm eq. self,1
agent03e,0,65,68,65,65.0,norm eq. self,1
agent03f,0,63,62,63,63.0,norm eq. self,1
agent040,0,64,66,64,64.0,norm eq. self,0
agent041,0,64,61,64,64.0,norm eq. self,0
agent042,0,65,64,65,65.0,norm eq. self,0
agent043,0,67,66,67,67.0,norm eq. self,1
agent044,0,64,67,64,64.0,norm eq. self,0
agent045,0,67,63,67,67.0,norm eq. self,1
agent046,0,64,62,64,64.0,norm eq. self,0
agent047,0,68,66,68,68.0,norm eq. self,1
agent048,0,67,68,67,67.0,norm eq. self,1
agent049,0,68,67,68,68.0,norm eq. self,1
agent04a,0,65,61,65,65.0,norm eq. self,1
agent04b,0,67,63,67,67.0,norm eq. self,0
agent04c,0,66,62,66,66.0,norm eq. self,1
agent04d,0,62,62,62,62.0,norm eq. self,0
agent04e,0,64,63,64,64.0,norm eq. self,0
agent04f,0,64,65,64,64.0,norm eq. self,0
agent050,0,66,67,66,66.0,norm eq. self,0
agent051,0,63,65,63,63.0,norm eq. self,1
agent052,0,68,68,68,68.0,norm eq. self,1
agent053,0,66,66,66,66.0,norm eq. self,1
agent054,0,65,64,65,65.0,norm eq. self,0
agent055,0,67,63,67,67.0,norm eq. self,1
agent056,0,69,66,69,69.0,norm eq. self,1
agent057,0,67,67,67,67.0,norm eq. self,0
agent058,0,67,65,67,67.0,norm eq. self,1
agent059,0,68,66,68,68.0,norm eq. self,1
agent05a,0,68,65,68,68.0,norm eq. self,1
agent05b,0,63,61,63,63.0,norm eq. self,1
agent05c,0,66,64,66,66.0,norm eq. self,1
agent05d,0,66,67,66,66.0,norm eq. self,1
agent05e,0,69,62,69,69.0,norm eq. self,1
agent05f,0,67,64,67,67.0,norm eq. self,0
agent060,0,65,66,65,65.0,norm eq. self,0
agent061,0,65,65,65,65.0,norm eq. self,1
agent062,0,67,63,67,67.0,norm eq. self,0
agent063,0,68,63,68,68.0,norm eq. self,1
agent064,0,66,67,66,66.0,norm eq. self,1
agent065,0,63,62,63,63.0,norm eq. self,1
agent066,0,62,65,62,62.0,norm eq. self,0
agent067,0,65,67,65,65.0,norm eq. self,1
agent068,0,66,64,66,66.0,norm eq. self,1
agent069,0,67,62,67,67.0,norm eq. self,1
agent06a,0,65,67,65,65.0,norm eq. self,0
agent06b,0,63,63,63,63.0,norm eq. self,0
agent06c,0,66,61,66,66.0,norm eq. self,0
agent06d,0,66,67,66,66.0,norm eq. self,0
agent06e,0,64,65,64,64.0,norm eq. self,0
agent06f,0,67,64,67,67.0,norm eq. self,1
agent070,0,64,64,64,64.0,norm eq. self,0
agent071,0,65,65,65,65.0,norm eq. self,0
agent072,0,68,67,68,68.0,norm eq. self,1
agent073,0,64,64,64,64.0,norm eq. self,0
agent074,0,64,65,64,64.0,norm eq. self,0
agent075,0,67,66,67,67.0,norm eq. self,1
agent076,0,63,62,63,63.0,norm eq. self,0
agent077,0,67,63,67,67.0,norm eq. self,1
agent078,0,66,61,66,66.0,norm eq. self,0
agent079,0,66,64,66,66.0,norm eq. self,1
agent07a,0,64,66,64,64.0,norm eq. self,0
agent07b,0,67,65,67,67.0,norm eq. self,1
agent07c,0,64,61,64,64.0,norm eq. self,0
agent07d,0,67,62,67,67.0,norm eq. self,1
agent07e,0,67,65,67,67.0,norm eq. self,1
agent07f,0,67,64,67,67.0,norm eq. self,1
agent080,0,67,61,67,67.0,norm eq. self,1
agent081,0,61,62,61,61.0,norm eq. self,0
agent082,0,65,61,65,65.0,norm eq. self,1
agent083,0,65,62,65,65.0,norm eq. self,0
agent084,0,69,64,69,69.0,norm eq. self,1
agent085,0,67,65,67,67.0,norm eq. self,0
agent086,0,66,62,66,66.0,norm eq. self,1
agent087,0,65,66,65,65.0,norm eq. self,1
agent088,0,64,63,64,64.0,norm eq. self,0
agent089,0,64,61,64,64.0,norm eq. self,0
agent08a,0,68,66,68,68.0,norm eq. self,1
agent08b,0,66,66,66,66.0,norm eq. self,0
agent08c,0,67,66,67,67.0,norm eq. self,1
agent08d,0,66,62,66,66.0,norm eq. self,1
agent08e,0,67,61,67,67.0,norm eq. self,0
agent08f,0,65,65,65,65.0,norm eq. self,1
agent090,0,66,65,66,66.0,norm eq. self,1
agent091,0,66,67,66,66.0,norm eq. self,1
agent092,0,67,61,67,67.0,norm eq. self,1
agent093,0,67,62,67,67.0,norm eq. self,0
agent094,0,64,61,64,64.0,norm eq. self,0
agent095,0,65,63,65,65.0,norm eq. self,1
agent096,0,66,61,66,66.0,norm eq. self,1
agent097,0,67,63,67,67.0,norm eq. self,0
agent098,0,65,63,65,65.0,norm eq. self,1
agent099,0,67,64,67,67.0,norm eq. self,1
agent09a,0,68,62,68,68.0,norm eq. self,1
agent09b,0,68,67,68,68.0,norm eq. self,1
agent09c,0,65,62,65,65.0,norm eq. self,1
agent09d,0,69,63,69,69.0,norm eq. self,2
agent09e,0,64,66,64,64.0,norm eq. self,0
agent09f,0,64,63,64,64.0,norm eq. self,0
agent0a0,0,64,62,64,64.0,norm eq. self,0
agent0a1,0,67,62,67,67.0,norm eq. self,1
agent0a2,0,67,65,67,67.0,norm eq. self,1
agent0a3,0,62,66,62,62.0,norm eq. self,0
agent0a4,0,63,65,63,63.0,norm eq. self,0
agent0a5,0,67,61,67,67.0,norm eq. self,1
agent0a6,0,67,65,67,67.0,norm eq. self,0
agent0a7,0,62,65,62,62.0,norm eq. self,0
agent0a8,0,64,65,64,64.0,norm eq. self,0
